date_time,total_biomass
2000-01-01T00:00:00.000,8.304526091876012E7
2001-01-01T00:00:00.000,5.458360212126782E7
2002-01-01T00:00:00.000,5.251830119934215E7
2003-01-01T00:00:00.000,4.34023036060044E7
2004-01-01T00:00:00.000,3.7173907217434235E7
2005-01-01T00:00:00.000,3.089927363960126E7
2006-01-01T00:00:00.000,2.6495969542983048E7
2007-01-01T00:00:00.000,1.8183376684970167E7
2008-01-01T00:00:00.000,1.6032797201825768E7
2009-01-01T00:00:00.000,1.4069369572916757E7
