year,landings_kg
1,2.724711228689935E7
2,2.2860813800927095E7
3,1.7458278879020583E7
4,1.4627917485176612E7
5,1.2811505021322481E7
6,1.1069735413090544E7
7,9218380.970132682
8,7914267.372616231
9,7104990.3215710465
10,6168113.063215423
