Easting,Northing,Abundance
278500,3548500,0
281035.11705685616,3548500,0
283570.2341137124,3548500,0
286105.35117056855,3548500,0
288640.4682274248,3548500,0
291175.58528428094,3548500,0
293710.7023411371,3548500,0
296245.8193979933,3548500,0
298780.9364548495,3548500,0
301316.0535117057,3548500,0
303851.1705685619,3548500,0
306386.28762541804,3548500,0
308921.40468227427,3548500,0
311456.52173913043,3548500,0
313991.63879598666,3548500,0
316526.7558528428,3548500,0
319061.872909699,3548500,0
321596.9899665552,3548500,0
324132.1070234114,3548500,0
326667.22408026754,3548500,0
329202.34113712376,3548500,0
331737.4581939799,3548500,0
334272.57525083615,3548500,0
336807.6923076923,3548500,0
339342.8093645485,3548500,0
341877.9264214047,3548500,0
344413.04347826086,3548500,0
346948.16053511703,3548500,0
349483.27759197325,3548500,0
352018.3946488294,3548500,0
354553.51170568564,3548500,0
357088.6287625418,3548500,0
359623.74581939797,3548500,0
362158.8628762542,3548500,0
364693.97993311036,3548500,0
367229.0969899666,3548500,0
369764.21404682274,3548500,0
372299.3311036789,3548500,0
374834.44816053513,3548500,0
377369.5652173913,3548500,0
379904.6822742475,3548500,0
382439.7993311037,3548500,0
384974.91638795985,3548500,0
387510.0334448161,3548500,0
390045.15050167224,3548500,0
392580.26755852846,3548500,0
395115.3846153846,3548500,0
397650.5016722408,3548500,0
400185.618729097,3548500,0
402720.7357859532,3548500,0
405255.8528428094,3548500,0
407790.96989966556,3548500,0
410326.08695652173,3548500,0
412861.2040133779,3548500,0
415396.3210702341,3548500,0
417931.43812709034,3548500,0
420466.5551839465,3548500,0
423001.67224080267,3548500,0
425536.78929765883,3548500,0
428071.90635451506,3548500,0
430607.0234113713,3548500,0
433142.14046822744,3548500,0
435677.2575250836,3548500,0
438212.3745819398,3548500,0
440747.491638796,3548500,0
443282.6086956522,3548500,0
445817.7257525084,3548500,0
448352.84280936455,3548500,0
450887.9598662207,3548500,0
453423.07692307694,3548500,0
455958.19397993316,3548500,0
458493.3110367893,3548500,0
461028.4280936455,3548500,0
463563.54515050165,3548500,0
466098.6622073579,3548500,0
468633.7792642141,3548500,0
471168.89632107026,3548500,0
473704.0133779264,3548500,0
476239.1304347826,3548500,0
478774.2474916388,3548500,0
481309.364548495,3548500,0
483844.4816053512,3548500,0
486379.59866220737,3548500,0
488914.71571906353,3548500,0
491449.83277591976,3548500,0
493984.9498327759,3548500,0
496520.06688963214,3548500,0
499055.1839464883,3548500,0
501590.3010033445,3548500,0
504125.4180602007,3548500,0
506660.53511705686,3548500,0
509195.6521739131,3548500,0
511730.76923076925,3548500,0
514265.8862876254,3548500,0
516801.0033444816,3548500,0
519336.1204013378,3548500,0
521871.237458194,3548500,0
524406.3545150502,3548500,0
526941.4715719064,3548500,0
529476.5886287625,3548500,0
532011.7056856188,3548500,0
534546.822742475,3548500,0
537081.9397993311,3548500,0
539617.0568561873,3548500,0
542152.1739130435,3548500,0
544687.2909698996,3548500,0
547222.4080267558,3548500,0
549757.5250836121,3548500,0
552292.6421404682,3548500,0
554827.7591973245,3548500,0
557362.8762541807,3548500,0
559897.9933110368,3548500,0
562433.110367893,3548500,0
564968.2274247492,3548500,0
567503.3444816053,3548500,0
570038.4615384615,3548500,0
572573.5785953177,3548500,0
575108.695652174,3548500,0
577643.8127090301,3548500,0
580178.9297658863,3548500,0
582714.0468227426,3548500,0
585249.1638795987,3548500,0
587784.2809364549,3548500,0
590319.397993311,3548500,0
592854.5150501672,3548500,0
595389.6321070234,3548500,0
597924.7491638795,3548500,0
600459.8662207358,3548500,0
602994.983277592,3548500,0
605530.1003344482,3548500,0
608065.2173913044,3548500,0
610600.3344481606,3548500,0
613135.4515050168,3548500,0
615670.5685618729,3548500,0
618205.6856187291,3548500,0
620740.8026755853,3548500,0
623275.9197324414,3548500,0
625811.0367892977,3548500,0
628346.1538461539,3548500,0
630881.27090301,3548500,0
633416.3879598663,3548500,0
635951.5050167225,3548500,0
638486.6220735786,3548500,0
641021.7391304348,3548500,0
643556.856187291,3548500,0
646091.9732441471,3548500,0
648627.0903010033,3548500,0
651162.2073578595,3548500,0
653697.3244147158,3548500,0
656232.4414715719,3548500,0
658767.5585284282,3548500,0
661302.6755852844,3548500,0
663837.7926421405,3548500,0
666372.9096989967,3548500,0
668908.0267558529,3548500,0
671443.143812709,3548500,0
673978.2608695652,3548500,0
676513.3779264214,3548500,0
679048.4949832776,3548500,0
681583.6120401338,3548500,0
684118.72909699,3548500,0
686653.8461538462,3548500,0
689188.9632107024,3548500,0
691724.0802675586,3548500,0
694259.1973244147,3548500,0
696794.3143812709,3548500,0
699329.4314381271,3548500,0
701864.5484949832,3548500,0
704399.6655518395,3548500,0
706934.7826086957,3548500,0
709469.8996655518,3548500,0
712005.0167224081,3548500,0
714540.1337792643,3548500,0
717075.2508361205,3548500,0
719610.3678929766,3548500,0
722145.4849498328,3548500,0
724680.602006689,3548500,0
727215.7190635451,3548500,0
729750.8361204014,3548500,0
732285.9531772576,3548500,0
734821.0702341137,3548500,0
737356.18729097,3548500,0
739891.3043478262,3548500,0
742426.4214046823,3548500,0
744961.5384615385,3548500,0
747496.6555183947,3548500,0
750031.7725752508,3548500,0
752566.889632107,3548500,0
755102.0066889632,3548500,0
757637.1237458194,3548500,0
760172.2408026756,3548500,0
762707.3578595319,3548500,0
765242.474916388,3548500,0
767777.5919732442,3548500,0
770312.7090301004,3548500,0
772847.8260869565,3548500,0
775382.9431438127,3548500,0
777918.0602006689,3548500,0
780453.177257525,3548500,0
782988.2943143813,3548500,0
785523.4113712375,3548500,0
788058.5284280938,3548500,0
790593.6454849499,3548500,0
793128.7625418061,3548500,0
795663.8795986623,3548500,0
798198.9966555184,3548500,0
800734.1137123746,3548500,0
803269.2307692308,3548500,0
805804.347826087,3548500,0
808339.4648829432,3548500,0
810874.5819397994,3548500,0
813409.6989966555,3548500,0
815944.8160535117,3548500,0
818479.933110368,3548500,0
821015.0501672241,3548500,0
823550.1672240803,3548500,0
826085.2842809365,3548500,0
828620.4013377926,3548500,0
831155.5183946489,3548500,0
833690.6354515051,3548500,0
836225.7525083612,3548500,0
838760.8695652174,3548500,0
841295.9866220736,3548500,0
843831.1036789299,3548500,0
846366.220735786,3548500,0
848901.3377926422,3548500,0
851436.4548494983,3548500,0
853971.5719063545,3548500,0
856506.6889632108,3548500,0
859041.806020067,3548500,0
861576.9230769231,3548500,0
864112.0401337793,3548500,0
866647.1571906355,3548500,0
869182.2742474917,3548500,0
871717.3913043479,3548500,0
874252.5083612041,3548500,0
876787.6254180602,3548500,0
879322.7424749164,3548500,0.04534966997713285
881857.8595317726,3548500,0.04059748463945835
884392.9765886288,3548500,0.03584529930178361
886928.093645485,3548500,0.031093113964109076
889463.2107023412,3548500,0.026340928626434577
891998.3277591973,3548500,0.02158874328876006
894533.4448160535,3548500,0.016836557951085546
