female,male
8361000,8361000
9457000,9600000
622000,642000
9755000,10288000
381000,413000
529000,592000
127000,148000
971000,1169000
508000,637000
1018000,1338000
1835001,2770861
1693919,2557827
1563685,2361172
1443463,2179637
1332484,2012058
1230038,1857364
1135468,1714563
1048169,1582741
967582,1461054
893191,1348723
970625,1764215
896000,1628575
827112,1503364
763521,1387780
704819,1281083
650629,1182588
600607,1091667
554430,1007735
511803,930257
472454,858735
466045,1086089
430214,1002587
397138,925504
366604,854348
338418,788663
312399,728027
288381,672054
266209,620384
245742,572687
226849,528656
273233,788005
252226,727420
232834,671493
214932,619866
198408,572209
183153,528215
169072,487604
156073,450115
144074,415509
132997,383563
140316,516727
129528,476999
119570,440325
110377,406472
101890,375221
94057,346372
86825,319742
80150,295159
73988,272466
68299,251518
