run,quota,acceptable,cashflow,red_biomass,blue_biomass,red_landings,blue_landings
4,1000,0.2,124733.35382693028,2901382.140487041,2893534.908932085,90613.08499999996,27000.094999999998
4,1000,0.3,121473.14386577206,2907023.0109506743,2892577.073425458,96000.11499999999,26000.105000000003
4,1000,0.4,129156.50314624624,2892162.2346708174,2898728.410748065,108000.125,23000.1
4,1000,0.5,129508.09049668949,2894910.37370959,2895677.959267268,109800.135,23000.105
4,1000,0.6,132785.5454777442,2888960.1598249115,2889589.330490947,102300.1,29800.125
4,1000,0.7,136533.23414125026,2888226.4265201637,2878804.263229961,108400.08499999999,34300.104999999996
4,1000,0.8,128922.3578390102,2890590.602997537,2858485.59626967,88000.045,41300.17
4,1000,0.9,134492.4617898886,2846858.850694762,2852898.46466245,118000.075,41200.130000000005
4,1000,1.0,135649.5092141929,2856525.478773538,2850958.6106989244,106100.05500000001,42400.16
4,1000,1.1,139821.49883744694,2783465.1440589563,2844673.4145168364,117400.04,44600.175
4,1000,1.2,137080.02224880393,2802280.097522319,2844332.449053217,103600.05,44800.16
4,1000,1.3,140100.93515645678,2771069.905647392,2847484.387227274,116169.94999999998,42400.14
4,1000,1.4,128651.20312884588,2787189.6373387035,2834904.690462841,93365.535,46900.17
4,1000,1.5,128149.74394994556,2785192.8036243333,2832770.651376818,90800.015,48200.170000000006
4,1000,1.6,121285.83204219071,2819767.84063226,2829602.71540434,60200.005000000005,49700.219999999994
4,1000,1.7,129739.7148345754,2802042.704429809,2830282.5480119684,86500.01000000001,49600.20999999999
4,1000,1.8,121313.18416925095,2826834.854381135,2829132.8837219216,85400.015,48600.19
4,1000,1.9,119921.66396289282,2852494.7469341406,2827863.1937124026,69900.005,49500.229999999996
4,1000,2.0,118734.2280855183,2836512.7781395405,2822185.1436549216,74600.01000000001,49700.21
4,1000,9999,110474.60900681437,2761641.969123699,2714107.6154157906,115233.575,46141.499999999985
