female,male
188107000,188107000
167555000,163384000
130068000,123672000
131476000,121898000
90610000,81913000
70227000,61891000
74310000,63828000
52081000,43585000
40150000,32703000
37861000,29957000
59442440,40395013
52905561,35952777
47087541,31999054
41909329,28480121
37300564,25348165
33198625,22560630
29547775,20079639
26298409,17871483
23406376,15906158
20832379,14156959
15013520,6666336
13362484,5933240
11893013,5280762
10585140,4700037
9421093,4183174
8385056,3723151
7462953,3313716
6642252,2949307
5911804,2624972
5261684,2336304
2812388,612278
2503110,544946
2227843,485018
1982847,431681
1764794,384209
1570720,341958
1397988,304353
1244251,270883
1107421,241094
985638,214581
987860,112355
879225,99999
782537,89002
696481,79215
619889,70504
551720,62750
491047,55850
437047,49708
388985,44241
346208,39376
260670,18699
232004,16643
206490,14813
183783,13184
163572,11734
145584,10443
129574,9295
115325,8273
102643,7363
91355,6553
88861,3676
79089,3272
70392,2912
62651,2592
55761,2307
49629,2053
44171,1827
39314,1626
34990,1447
31143,1288
