habit,distance
9.64742790191,-0.0216782190661
nan,nan
1.86182357432,-0.0190751231486
9.65913526828,-0.0222971720218
2.763785536,-0.0184061183013
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
2.94556362904,-0.019004992555
nan,nan
-0.395328539752,-0.0183975069527
nan,nan
nan,nan
12.8252293824,-0.021742575202
1.71274394328,-0.0185299075644
4.64805967286,-0.0160996210845
-5.42161365536,-0.0175614888802
nan,nan
-4.89095090928,-0.0157921370931
nan,nan
10.303837742,-0.0228718352758
2.06233821726,-0.0196427175306
4.8293510884,-0.0193556574202
nan,nan
nan,nan
-0.260451382019,-0.0190047358638
4.42933096869,-0.0203808434114
0.56677711881,-0.0190287160123
3.91519458507,-0.0159504480558
nan,nan
nan,nan
3.28968406529,-0.0212096606788
8.13091467793,-0.0199681378758
12.8171491236,-0.0223942863817
nan,nan
0.611531458736,-0.0181438996496
nan,nan
10.6385597362,-0.0245129001146
nan,nan
nan,nan
nan,nan
nan,nan
4.52093440276,-0.0160901573294
-1.11409875825,-0.0217974097478
7.11772248634,-0.0195654949396
21.1938771795,-0.0281672974093
nan,nan
nan,nan
8.23281075559,-0.0227100116488
nan,nan
2.14233166117,-0.0199676954064
2.67897993837,-0.0210112913293
nan,nan
7.24696530104,-0.0197397386296
nan,nan
0.288478026236,-0.023924054522
5.5718698851,-0.0203249962395
nan,nan
nan,nan
nan,nan
nan,nan
9.64971350199,-0.020292442394
-3.1211441358,-0.0190432252584
2.30613680629,-0.0217213407313
3.27309942235,-0.0168608484681
-0.0910464638591,-0.0161084762937
0.504485659232,-0.0194141455581
11.4305706826,-0.0200430000938
7.14376635185,-0.0228790642236
-2.169768621,-0.0201540154745
nan,nan
8.12438708126,-0.022939429793
9.38682795296,-0.0192783264599
2.07140347124,-0.0272243605274
1.46925162917,-0.0201117816202
nan,nan
3.01602398423,-0.0183823206604
nan,nan
nan,nan
-2.03417820902,-0.0166358501303
7.50088046394,-0.0195928925153
-2.32755295191,-0.0190636680105
nan,nan
7.59501527995,-0.0190445012734
4.79484571783,-0.0195187615084
nan,nan
nan,nan
nan,nan
4.67959166987,-0.0216699049101
-1.54378144001,-0.0170524520326
-2.32940684432,-0.0189753646452
5.82321741166,-0.0185163785039
9.66906954376,-0.0248307338762
4.27842180869,-0.0187468094492
nan,nan
9.46519724132,-0.0238119808412
nan,nan
nan,nan
