x,y,distance,habitat,time,cash
279.06701227452976,168.27654509387895,216.7153501368531,363.78763795784573,56071.546017851404,52187.553513710016
158.36559485245226,126.65551984359463,163.7082760582428,245.8696851621067,39409.29505108219,52245.930223619245
208.02707802415915,194.81807506621305,134.37164327081874,189.10195910171885,67060.75336614973,53277.83276012065
296.08787081905393,95.67732489417084,195.065184917768,388.5050332335866,51609.739812292064,52555.49662145141
204.9919490072698,148.33927910470354,124.94563732270716,364.0683786328383,52910.32039288015,48682.497339184374
173.4191426614654,126.1104705159826,360.46435163093315,289.97743370824196,44803.13513817832,53376.11455886418
202.61385673216733,91.52822924482591,258.115160850296,293.06133969070345,46595.80783253136,53114.156443974105
290.5402792147425,254.6200305380654,209.10129543398295,251.75585804873484,18870.19974225253,52885.298804442136
228.53174883116742,148.61868309965294,338.4852069703457,391.024936201861,44299.53837374458,54035.36645903673
294.3668381522338,107.7311590711547,149.14877532785331,280.39576674257216,69610.62316410872,53651.62891811328
260.77498709121085,164.03153194924457,124.94921953696954,245.29805009439846,64976.64926758525,52769.92764632195
194.08720757518512,168.63419965869437,259.88789151548224,218.4109010437219,18072.225570220315,50966.32002480063
146.92745091442737,105.75222732848442,182.34352109798579,300.60622242483214,41509.97683615317,50772.94192074246
202.23107880393624,121.70350874056703,213.315323879113,193.9416919773043,53332.01661980189,52391.06760507602
300.4276966951854,78.41832261313239,121.01956610928347,315.55683170285175,42930.53846294825,50667.15749079361
225.19288925575063,145.97196325606913,288.7036661008364,182.92835632581787,72005.32633428666,52203.142774159285
263.48260831342327,157.48136013682725,125.85817866100425,226.0783600394802,38489.128352586406,49157.97520426574
220.47388307968438,158.546495985642,209.81554871791187,330.21145249226095,45812.07267903452,52859.201120877464
136.6759785896436,100.30022296092024,157.04750119049146,295.54050204712104,17851.73774898365,51493.2718851038
202.51422278439145,191.00658944247814,151.50259785794245,214.61226269900683,68024.828029666,51497.54306396129
181.03023074106792,128.89458813980923,295.7909556995676,339.7725832824009,53303.91539645573,54190.34051425389
236.75620630776748,171.48349847367922,220.72470588659402,349.65552402597206,39326.32400080273,51859.060599438686
139.7320171566327,171.8686924708544,151.75954523176654,306.42055608165697,41500.46669878569,53528.62103700907
199.80376145778536,102.58883018071782,199.765351985864,261.1106943215845,49747.507810059906,51164.552075592124
164.76682555375646,246.0859498038369,135.13537028546114,122.9862795924472,75144.12998182351,52323.43475092399
249.12367138326326,120.26658723837487,122.20035758028197,221.53931191567142,31522.6037290246,51063.080173240436
165.90129382399482,262.20598656195364,221.13699613960395,338.96453398791346,23925.29106723141,52827.050550308886
190.75917167520413,130.52229289834236,253.22674489499906,204.37855356557685,54240.33641642172,51712.613769639785
168.7936682893164,82.1868419323887,142.34361866458568,244.82032635436693,62408.29622297109,52014.61270096154
281.3982868400075,107.2485590422841,233.70674838100928,278.98580963597493,61128.691629784815,54010.038634526216
259.5535434540363,118.3627775204464,280.7491014139083,133.28684899513766,79018.24998628254,52771.27682751617
352.64758524353107,107.95818676078781,184.1652239729265,272.04656316000745,49476.97977741708,53024.74743711783
169.3492059740259,158.61282534858478,135.29079388135472,345.9361665913096,24252.100025949112,51488.94446823699
238.75107735607008,74.8507341957274,222.0821173272381,251.49286660438912,59560.623714401176,51656.606746468264
177.2647476566962,127.36127697114813,205.10632009812724,191.57925867315043,36369.29337813561,52189.34842634972
282.9686985154374,115.75893643095078,211.3536007465078,383.87884713493224,42404.259491730205,53760.61440782526
171.4674076311586,167.97699800918178,349.6376891362786,248.78877764606904,34626.52400241063,53755.33913074554
130.47997654327284,104.6747298543521,149.45763499632963,217.92448605994542,86955.16018625004,53863.84477774502
312.61158679564767,150.2684820330066,244.53864842039158,278.10736051583666,18553.887134988512,54101.003964422605
232.89002727427814,117.20311903787173,228.82939249684753,235.30626900882504,30017.546303387786,51433.9422569813
251.86852918372742,207.99356120013158,265.6765771504457,295.8615804853635,16975.668276749308,50001.56443692653
210.15159561671825,153.99809327954063,262.7565230216225,268.1415773712805,58519.80090738413,53923.57623691906
325.3755299597132,110.1529751723331,142.04100127813564,302.3125618799618,33791.09770488584,53955.52801877341
235.78295279700208,295.30695990617386,179.03377704022074,213.3972699225635,38129.07275941026,53013.685209839314
212.13527397942585,127.66939966729302,308.65399548705375,124.16386789008195,54175.58892237383,54173.45845807653
336.7286818260373,205.91089705664658,258.06092312042784,339.94995542952967,34381.003412963095,52573.98309379773
238.47695728557017,153.36864958322712,277.65669773522006,314.9672975173167,40431.579864532076,52098.16913154814
97.34592938228448,120.4156174549113,157.5815394428593,198.7432904818146,75400.77150219257,53911.12308370102
205.38343192068965,121.80451961413401,206.12246941277397,149.43906323952586,48170.070551768804,53567.24382918151
341.28965718308496,140.34534473959727,174.97864788782542,241.0991047810282,68721.22015533732,55072.34708584645
256.03269936520485,188.92351882035354,192.72768285296672,383.22395681228096,34292.71472915148,53319.849040662215
261.19243293448443,105.48167206083168,234.5016473593563,150.77806714388706,45450.830459007615,53399.86630104408
198.39365882049125,126.58032495480411,372.7671974371608,200.04111662674237,41812.3626259539,52066.03589433413
236.6227883460402,136.46155092767748,205.21111119348956,237.07852333483083,48074.908773907955,53862.05152495824
397.1197619587455,118.26145779544784,231.54592158524576,203.0390494931819,46838.521242051116,51851.750432054454
283.6490915816253,117.06367694201077,217.5334038614644,175.5746497006107,28278.788381201182,53882.50691728062
148.7528391363748,134.38785431451151,345.00869174806286,315.13803276471094,41955.407268700685,52638.97306049944
97.0028432574699,83.04628529602756,130.12759240486432,455.2823955765223,46874.34192363729,51158.905517074374
227.1342153150104,177.46500651597088,160.64690534170558,358.1505501017002,46685.71060317197,55099.81705293443
141.52055935627064,91.75936080400442,228.94900496328202,415.5102289576073,91596.4089369809,51959.56678838559
134.12225419937727,93.39222138642819,161.60370035023516,199.2129412099766,42753.314713443855,53622.92092942527
193.40163712557833,132.53236492576195,135.4753897319182,156.2070188702901,77821.09585921164,54267.66102348422
175.4604894838824,232.06577647592022,396.3506981699478,288.8147459136132,37865.63136309894,50788.08662843884
336.93520710593816,100.2614540396634,162.81416416758668,265.1886094282446,29130.484901688164,52299.52934700084
161.32962117411938,101.50270518909974,180.28614105620701,414.1801859986554,80552.47805245635,49221.15589603317
256.80673949303167,130.13322782799398,276.5665597404947,168.8583717755834,92419.4118102408,53941.21113552013
280.79244456916797,213.37199725480556,219.2934100341554,349.6557560974737,47477.75319777026,49614.480545087885
122.14990669713889,92.05294413086682,185.91224760511304,113.4916600128509,84444.11056431715,51481.63735389079
197.00880346119592,130.01274149028777,191.39150655278883,363.51361827170274,39646.47712067292,53058.43485437091
150.8184319190039,92.58331949349036,204.070766430677,192.74400652188334,61241.355806644104,51221.681223810556
110.3374320662837,159.58651492947595,116.11815662634933,311.0443136829223,35438.86182056712,51287.948003710786
189.76706138604106,87.61333064725368,326.8743603962884,179.24539716295908,7127.042365605648,53455.63304940884
283.4516688518863,132.07231702328056,135.0175489077897,290.14153632494396,54110.48023494729,52827.09190305067
129.00710356335628,149.9102171074102,100.31968754253114,313.78533085810966,26912.253296868632,52599.76887600463
215.02213232339116,108.3344343172651,321.98234665210055,355.41024497564695,33076.449351585026,51878.675322036455
326.8200117859417,191.5313694413193,247.50773074999535,313.2598107929368,70412.65490214805,53681.01676310237
314.94884906768357,178.25101441430834,174.48715241325212,267.8025647297278,48463.15275583791,52292.067021530114
103.66403018948756,149.69600419858233,250.3284082588162,241.076939148703,52095.93290856142,51065.963386067626
268.46452008623976,143.77995618537034,134.59682763570277,341.29620402151033,77288.4391781352,52536.09707645849
320.7526100669011,145.26635807802919,234.83277486811923,238.8955886260157,19656.923684013345,52191.715460833235
273.8207463278162,130.48417634059228,184.74365870174108,328.48117032907516,47370.91444861331,52954.96055937798
165.80128211404116,165.70483167059777,211.87263269057314,201.30263655757273,40334.03612212687,51982.84388978454
239.83292242326468,205.81792984881204,306.68768147571365,309.6486482464253,48917.497502754486,49161.99633902312
152.78736566067343,156.91313596499202,350.41620714323193,428.15129436320393,11992.680376739641,53762.04970836532
232.0400546013745,114.04585258068317,424.2232916557195,339.3530949435283,21401.189614969295,55341.91785555613
308.4194494014137,175.2257866820944,229.74174892016734,135.1883752172857,6903.243698624444,51576.434907090086
313.39507746103175,143.9669357331325,253.59537282257787,214.2344136385905,28983.891068850528,52178.2509189496
314.97871586786397,190.91307918550928,191.93917207906023,413.48494229824036,41215.04324261182,52253.600959070434
271.71107162735893,182.75115181782496,301.88476236258595,192.39727497308823,21624.143728544397,53183.301078543795
382.65762184725753,114.99399987476595,116.75465802435123,378.2089362425056,50570.23498311632,54559.78535459592
252.95445358852407,164.07769115842453,233.2293401417094,349.4727425398025,57513.726601202776,53843.16439132234
167.20984464113693,94.31535182605445,83.29424488931693,238.78904394511702,11489.579322406826,51674.74369445784
214.38850699029825,103.19868094952761,221.90614587662822,364.9689041502609,23781.218714382812,50353.57261635796
445.0731757317467,92.77373460592979,124.65739413038177,414.1828286575383,75878.31281969314,49260.9911572814
204.3682210517727,119.52457716208247,216.5562520647808,297.3733730002121,48113.90403575999,51386.69768881688
156.8834973573472,167.6653057605815,187.71091044008747,299.79108767223755,33573.080280723545,53104.106269542295
178.0914781232458,145.17626088554837,263.8581399307916,359.35792188722087,65248.860279794826,51470.96014542552
384.54569513752836,115.45277609864516,222.4027168149066,320.57595434348895,53262.9241011002,52548.30966199223
200.687421093761,94.65416999413446,321.77085366490843,255.42082850632397,27499.868014917138,49188.78100457715
