set_type,species_code,bin,selectivity
NOA,YFT,2,0.995313873
NOA,YFT,3,0.938115155
NOA,YFT,4,0.857160961
NOA,YFT,5,0.780421956
NOA,YFT,6,0.71498435
NOA,YFT,7,0.664476422
NOA,YFT,8,0.62226334
NOA,YFT,9,0.510759413
NOA,YFT,10,0.359443113
NOA,YFT,11,0.241200748
NOA,YFT,12,0.147073248
NOA,YFT,13,0.11113354
NOA,YFT,14,0.070139565
NOA,YFT,15,0.050081938
NOA,YFT,16,0.041831951
NOA,YFT,17,0.028223777
NOA,YFT,18,0.022619781
NOA,YFT,19,0.017668177
NOA,YFT,20,0.017668177
NOA,YFT,21,0.013271947
NOA,YFT,22,0.009345465
NOA,YFT,23,0.009345465
NOA,YFT,24,0.009345465
NOA,YFT,25,0.005814278
NOA,YFT,26,0.005814278
NOA,YFT,27,0.005814278
NOA,YFT,28,0.005814278
NOA,YFT,29,0.005814278
FAD,SKJ,0,0.0025
FAD,SKJ,1,0.0351
FAD,SKJ,2,0.4574
FAD,SKJ,3,1
FAD,SKJ,4,0.7934
FAD,SKJ,5,0.4612
FAD,SKJ,6,0.2857
FAD,SKJ,7,0.2095
FAD,SKJ,8,0.1744
FAD,SKJ,9,0.1566
FAD,SKJ,10,0.1473
FAD,SKJ,11,0.1424
FAD,SKJ,12,0.14
FAD,SKJ,13,0.1389
FAD,SKJ,14,0.1387
FAD,SKJ,15,0.1387
DEL,SKJ,0,0.0034
DEL,SKJ,1,0.0078
DEL,SKJ,2,0.0827
DEL,SKJ,3,0.6192
DEL,SKJ,4,1
DEL,SKJ,5,0.7214
DEL,SKJ,6,0.4594
DEL,SKJ,7,0.3283
DEL,SKJ,8,0.2638
DEL,SKJ,9,0.2297
DEL,SKJ,10,0.211
DEL,SKJ,11,0.2008
DEL,SKJ,12,0.1956
DEL,SKJ,13,0.1933
DEL,SKJ,14,0.1927
DEL,SKJ,15,0.1927
NOA,SKJ,0,0.0034
NOA,SKJ,1,0.0078
NOA,SKJ,2,0.0827
NOA,SKJ,3,0.6192
NOA,SKJ,4,1
NOA,SKJ,5,0.7214
NOA,SKJ,6,0.4594
NOA,SKJ,7,0.3283
NOA,SKJ,8,0.2638
NOA,SKJ,9,0.2297
NOA,SKJ,10,0.211
NOA,SKJ,11,0.2008
NOA,SKJ,12,0.1956
NOA,SKJ,13,0.1933
NOA,SKJ,14,0.1927
NOA,SKJ,15,0.1927
