| FunctionCalls | currentBest | meanFit | solution | 
| --- | --- | --- | --- | 
| 360 | 5.924054897850968 | 7.580281978517091 | { 1.574,-2.251,-0.654,-1.384, 0.321,-0.830} | 
| 370 | 5.715591850376697 | 7.559435673769665 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 380 | 5.715591850376697 | 7.488153912868313 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 390 | 5.715591850376697 | 7.488153912868313 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 400 | 5.715591850376697 | 7.488153912868313 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 410 | 5.715591850376697 | 7.488153912868313 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 420 | 5.715591850376697 | 7.366114217207238 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 430 | 5.715591850376697 | 7.366114217207238 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 440 | 5.715591850376697 | 7.342872198393546 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 450 | 5.715591850376697 | 7.342872198393546 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 460 | 5.715591850376697 | 7.342872198393546 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 470 | 5.715591850376697 | 7.342872198393546 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 480 | 5.715591850376697 | 7.342872198393546 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 490 | 5.715591850376697 | 7.29394984006459 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 500 | 5.715591850376697 | 7.29394984006459 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 510 | 5.715591850376697 | 7.276200772497335 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 520 | 5.715591850376697 | 7.276200772497335 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 530 | 5.715591850376697 | 7.231090563296206 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 540 | 5.715591850376697 | 7.207972364275898 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 550 | 5.715591850376697 | 7.152128337641118 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 560 | 5.715591850376697 | 7.00298844162509 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
| 570 | 5.715591850376697 | 7.00298844162509 | { 0.054,-0.482,-1.303,-0.947, 0.342,-1.823} | 
