x,y,z
6,27,-28.332288212246365
6,28,-42.384521908230255
6,29,-44.4108689626058
6,30,-33.35768127441406
6,31,48.68760140736898
6,32,100.0
6,33,100.0
6,34,100.0
6,35,100.0
6,36,36.893677181667755
6,37,-1052.5665537516277
7,0,-73.74998426437378
7,1,-60.578392028808594
7,2,-53.74752712249756
7,3,-48.28756237030029
7,4,-48.22873067855835
7,5,-43.588321685791016
7,6,-38.80418554941813
7,7,-36.4533306757609
7,8,-35.96377718448639
7,9,-31.97845760981242
7,10,-34.60420687993368
7,11,-32.152536392211914
7,12,-30.28748857975006
7,13,-31.716705004374187
7,14,-33.330062548319496
7,15,-37.911580403645836
7,16,-39.81188726425171
7,17,-37.3841552734375
7,18,-35.52511088053385
7,19,33.35730862617493
7,20,26.83080079158147
7,21,-13.70233604311943
7,22,-26.346653779347736
7,23,-31.8599853515625
7,24,-36.58914597829183
7,25,-42.51999473571777
7,26,-37.20915285746256
7,27,-58.35179281234741
7,28,-49.78648058573405
7,29,-42.376962065696716
7,30,-36.836646715799965
7,31,20.049109399318695
7,32,100.0
7,33,100.0
7,34,100.0
7,35,100.0
7,36,91.25769670804341
7,37,-448.4182656606038
8,0,-47.43475389480591
8,1,-45.555453830295136
8,2,-42.03778330485026
8,3,-34.88788859049479
8,4,-38.20163027445475
8,5,-33.788852267795136
8,6,-33.549899631076386
8,7,-30.591545740763348
8,8,-27.18154541651408
8,9,-26.72142940097385
8,10,-28.715551800198025
8,11,-29.82774586147732
8,12,-28.71001942952474
8,13,-23.518820656670464
8,14,-28.164342880249023
8,15,-31.047764248318142
8,16,-36.684226989746094
8,17,-41.188836415608726
8,18,-27.137011104159885
8,19,-26.74856736924913
8,20,-24.68012152777778
8,21,-20.33429678281148
8,22,-27.173370149400498
8,23,-33.061069064670136
8,24,-37.73665449354384
8,25,-42.417521158854164
8,26,-45.305601331922745
8,27,-83.58664957682292
8,28,-58.95542865329318
8,29,-45.91358343760172
8,30,-42.13902876112196
8,31,-24.233259836832683
8,32,18.01214181052314
8,33,90.83333333333333
8,34,100.0
8,35,100.0
8,36,68.68344391716852
8,37,-113.69677607218425
9,0,5.418415089448293
9,1,-9.65765380859375
9,2,-31.677629894680447
9,3,-30.97220781114366
9,4,-30.348313013712566
9,5,-20.55011036660936
9,6,-15.851002057393393
9,7,34.23563761181302
9,8,22.965986609458923
9,9,-23.809989399380154
9,10,-26.528921551174587
9,11,-24.36663966708713
9,12,-25.26746892929077
9,13,-27.12222629123264
9,14,-21.962069511413574
9,15,37.6311878628201
9,16,-24.254129648208618
9,17,-34.30001661512587
9,18,-27.540040334065754
9,19,-31.05552800496419
9,20,-31.596530066596138
9,21,-33.689130783081055
9,22,-32.327811347113716
9,23,-32.5166859096951
9,24,-36.986688401963974
9,25,-45.37081400553385
9,26,-56.31435521443685
9,27,-102.52787272135417
9,28,-39.153107749091255
9,29,-59.471662521362305
9,30,-45.59780841403537
9,31,-28.488742192586262
9,32,-20.60251341925727
9,33,64.0816746155421
9,34,100.0
9,35,100.0
9,36,58.752020094129776
9,37,-112.84341091579861
10,0,-36.735411643981934
10,1,28.265359030829536
10,2,-23.913271374172634
10,3,-24.330886099073624
10,4,33.430295626322426
10,5,88.77777777777777
10,6,100.0
10,7,100.0
10,8,100.0
10,9,51.84239806069268
10,10,49.56687461005317
10,11,60.55690913730197
10,12,-10.496360341707865
10,13,-18.024234347873264
10,14,-8.439817004733616
10,15,-2.2413323720296225
10,16,-20.125019152959187
10,17,-28.33877076043023
10,18,-32.94097455342611
10,19,-30.04336102803548
10,20,-27.577816433376736
10,21,-33.93253072102865
10,22,-39.78015814887153
10,23,-39.9379153781467
10,24,-42.955634646945526
10,25,-46.52835432688395
10,26,-51.624335818820526
10,27,-99.23642010158963
10,28,-65.88344616360135
10,29,-62.05152543385824
10,30,-49.0277353922526
10,31,-46.53468322753906
10,32,-33.97974989149306
10,33,50.879053274790444
10,34,100.0
10,35,100.0
10,36,70.97702746921115
10,37,-95.28730180528429
11,0,-51.85011315345764
11,1,-34.79672940572103
11,2,-22.100054264068604
11,3,43.51261496543884
11,4,100.0
11,5,100.0
11,6,100.0
11,7,100.0
11,8,100.0
11,9,100.0
11,10,100.0
11,11,100.0
11,12,93.6875
11,13,30.08754090468089
11,14,19.84005578358968
11,15,-17.095191478729248
11,16,-21.034351348876953
11,17,-25.95822874704997
11,18,-29.366658846537273
11,19,-30.277387142181396
11,20,-32.135239919026695
11,21,-33.52500128746033
11,22,-37.351566314697266
11,23,-39.47500737508138
11,24,-40.49654038747152
11,25,-47.072439670562744
11,26,-51.39417107899984
11,27,-66.63466135660808
11,28,-52.89921951293945
11,29,-57.51594662666321
11,30,-47.70414765675863
11,31,-49.00397046407064
11,32,-40.713466008504234
11,33,41.41309182345867
11,34,100.0
11,35,100.0
11,36,62.9091511964798
11,37,-108.16585222880046
12,0,-53.53671360015869
12,1,-40.84897104899088
12,2,-28.404614130655926
12,3,-1.1769532362620037
12,4,100.0
12,5,100.0
12,6,100.0
12,7,100.0
12,8,100.0
12,9,100.0
12,10,100.0
12,11,100.0
12,12,100.0
12,13,87.35556115044488
12,14,0.3143051465352376
12,15,-12.132189326816135
12,16,-16.328234831492107
12,17,-20.344411002265083
12,18,-24.8021363152398
12,19,-27.61440298292372
12,20,-31.91652552286784
12,21,-27.94659423828125
12,22,-29.987741258409287
12,23,-36.76762813991971
12,24,-36.38891728719076
12,25,-44.85421339670817
12,26,-57.290018717447914
12,27,-51.081018659803604
12,28,-54.635262383355034
12,29,-50.4584002494812
12,30,-46.259796142578125
12,31,-44.58057467142741
12,32,-43.868208991156685
12,33,23.333376169204712
12,34,100.0
12,35,100.0
12,36,100.0
12,37,-109.12090153164334
13,0,-56.321861267089844
13,1,-40.31785032484267
13,2,-30.016687605116104
13,3,-18.248984654744465
13,4,73.5291697581609
13,5,100.0
13,6,100.0
13,7,100.0
13,8,100.0
13,9,100.0
13,10,100.0
13,11,100.0
13,12,100.0
13,13,100.0
13,14,74.17317130830553
13,15,63.77777777777778
13,16,55.15347536404928
13,17,14.599071012602913
13,18,-11.620899677276611
13,19,0.5135201348198785
13,20,-15.677474631203545
13,21,-23.03394079208374
13,22,-27.402544021606445
13,23,-30.416852527194553
13,24,-35.08331002129449
13,25,-50.02338790893555
13,26,-50.44550535413954
13,27,-34.71313773261176
13,28,-41.854560640123154
13,29,-41.233856519063316
13,30,-41.81882561577691
13,31,-46.46021609836154
13,32,-43.35702048407661
13,33,9.302677631378174
13,34,100.0
13,35,100.0
13,36,100.0
13,37,-6.721353530883789
14,0,-60.20402431488037
14,1,-54.163336012098526
14,2,-28.581175910101997
14,3,-15.916666719648573
14,4,70.45942372083664
14,5,100.0
14,6,100.0
14,7,100.0
14,8,100.0
14,9,100.0
14,10,100.0
14,11,100.0
14,12,100.0
14,13,100.0
14,14,100.0
14,15,100.0
14,16,100.0
14,17,100.0
14,18,100.0
14,19,65.56788565052881
14,20,17.550020986133152
14,21,-13.1792733669281
14,22,-25.488812976413303
14,23,-33.308922661675346
14,24,-36.465504540337456
14,25,-46.77160771687826
14,26,-58.502669440375435
14,27,-46.745719485812714
14,28,-51.534478929307724
14,29,-39.455901781717934
14,30,-45.88335821363661
14,31,-45.073109520806206
14,32,-37.81702635023329
14,33,20.276663700739544
14,34,100.0
14,35,100.0
14,36,100.0
14,37,66.47702323065863
15,0,-38.49311709403992
15,1,-36.55166975657145
15,2,-30.88503408432007
15,3,-22.761704126993816
15,4,46.8768424987793
15,5,100.0
15,6,100.0
15,7,100.0
15,8,100.0
15,9,100.0
15,10,100.0
15,11,100.0
15,12,100.0
15,13,100.0
15,14,100.0
15,15,100.0
15,16,100.0
15,17,100.0
15,18,100.0
15,19,100.0
15,20,20.356693625450134
15,21,-10.994312644004822
15,22,-25.91834370295207
15,23,-30.370839436848957
15,24,-35.60080130894979
15,25,-47.70628809928894
15,26,-51.53498617808024
15,27,-57.1274471282959
15,28,-63.058319409688316
15,29,-35.91269791126251
15,30,-46.654536644617714
15,31,-45.04249827067057
15,32,3.6475319862365723
15,33,78.53247094154358
15,34,100.0
15,35,100.0
15,36,100.0
15,37,100.0
16,0,-30.618374824523926
16,1,-29.695520824856228
16,2,-24.77551884121365
16,3,-13.724457687801785
16,4,31.071656227111816
16,5,100.0
16,6,100.0
16,7,100.0
16,8,100.0
16,9,100.0
16,10,100.0
16,11,100.0
16,12,100.0
16,13,100.0
16,14,100.0
16,15,100.0
16,16,100.0
16,17,100.0
16,18,100.0
16,19,100.0
16,20,54.01111518012153
16,21,-10.4166339635849
16,22,-26.641058603922527
16,23,-34.41109191046821
16,24,-46.338881174723305
16,25,-51.0475222269694
16,26,-45.41663021511502
16,27,-50.26197179158529
16,28,-57.000008053249786
16,29,-28.170161088307697
16,30,-49.908909267849396
16,31,-37.83548206753201
16,32,100.0
16,33,100.0
16,34,100.0
16,35,100.0
16,36,100.0
16,37,100.0
17,0,-1.3857887585957844
17,1,24.96465672387017
17,2,63.567861239115395
17,3,65.36575078301959
17,4,100.0
17,5,100.0
17,6,100.0
17,7,100.0
17,8,100.0
17,9,100.0
17,10,100.0
17,11,100.0
17,12,100.0
17,13,100.0
17,14,100.0
17,15,100.0
17,16,100.0
17,17,100.0
17,18,100.0
17,19,100.0
17,20,41.695474200778534
17,21,-13.854191303253174
17,22,-28.954585393269856
17,23,-41.347785525851776
17,24,-50.59546322292752
17,25,-54.31498495737711
17,26,-51.27314122517904
17,27,-29.462047576904297
17,28,-48.62331093682183
17,29,-25.829509735107422
17,30,-48.15320036146376
17,31,-42.7690421210395
17,32,0.9288656446668837
17,33,100.0
17,34,100.0
17,35,100.0
17,36,100.0
17,37,100.0
18,0,37.43747925758362
18,1,100.0
18,2,100.0
18,3,100.0
18,4,100.0
18,5,100.0
18,6,100.0
18,7,100.0
18,8,100.0
18,9,100.0
18,10,100.0
18,11,100.0
18,12,100.0
18,13,100.0
18,14,100.0
18,15,100.0
18,16,100.0
18,17,100.0
18,18,100.0
18,19,100.0
18,20,40.39464778370328
18,21,-15.550719102223715
18,22,-29.570930269029404
18,23,-38.41778903537326
18,24,-41.571833504570854
18,25,-55.12420495351156
18,26,-52.10675981309679
18,27,-44.726927863227
18,28,-51.05005857679579
18,29,-47.19417031606039
18,30,-35.043206956651474
18,31,-44.44110022650825
18,32,-29.968881183200413
18,33,100.0
18,34,100.0
18,35,100.0
18,36,100.0
18,37,100.0
19,0,73.2093157172203
19,1,100.0
19,2,100.0
19,3,100.0
19,4,100.0
19,5,100.0
19,6,100.0
19,7,100.0
19,8,100.0
19,9,100.0
19,10,100.0
19,11,100.0
19,12,100.0
19,13,100.0
19,14,100.0
19,15,100.0
19,16,100.0
19,17,100.0
19,18,100.0
19,19,100.0
19,20,64.83583062887192
19,21,45.936999052762985
19,22,-19.372335771719616
19,23,-34.779975732167564
19,24,-37.31265942255656
19,25,-49.02610945701599
19,26,-58.614946365356445
19,27,-61.22583452860514
19,28,-47.915001233418785
19,29,-55.83881402015686
19,30,-58.24350516001383
19,31,-41.89363177617391
19,32,-34.789965311686196
19,33,71.02110806107521
19,34,100.0
19,35,100.0
19,36,100.0
19,37,100.0
20,0,82.83335050940514
20,1,100.0
20,2,100.0
20,3,100.0
20,4,100.0
20,5,100.0
20,6,100.0
20,7,100.0
20,8,100.0
20,9,100.0
20,10,100.0
20,11,100.0
20,12,100.0
20,13,100.0
20,14,100.0
20,15,100.0
20,16,100.0
20,17,100.0
20,18,100.0
20,19,100.0
20,20,100.0
20,21,65.46242690086365
20,22,-14.46457396613227
20,23,-26.404561360677082
20,24,-38.00751834445529
20,25,-53.54872369766235
20,26,-64.1032100253635
20,27,-59.47553422715929
20,28,-52.951854917738174
20,29,-70.65444946289062
20,30,-60.825724283854164
20,31,-60.68000751071506
20,32,-44.934609731038414
20,33,41.854838371276855
20,34,100.0
20,35,100.0
20,36,100.0
20,37,100.0
21,0,100.0
21,1,100.0
21,2,100.0
21,3,100.0
21,4,100.0
21,5,100.0
21,6,100.0
21,7,100.0
21,8,100.0
21,9,100.0
21,10,100.0
21,11,100.0
21,12,100.0
21,13,100.0
21,14,100.0
21,15,100.0
21,16,100.0
21,17,100.0
21,18,100.0
21,19,100.0
21,20,100.0
21,21,55.14415979385376
21,22,-13.157801204257542
21,23,-24.880808300442165
21,24,-32.34453773498535
21,25,-47.854604403177895
21,26,-54.303017934163414
21,27,-63.87022230360243
21,28,-65.3723873562283
21,29,-74.7759386698405
21,30,-66.42210261027019
21,31,-61.506740146213104
21,32,-52.858756595187714
21,33,35.72069136301676
21,34,100.0
21,35,100.0
21,36,100.0
21,37,100.0
22,0,100.0
22,1,100.0
22,2,100.0
22,3,100.0
22,4,100.0
22,5,100.0
22,6,100.0
22,7,100.0
22,8,100.0
22,9,100.0
22,10,100.0
22,11,100.0
22,12,100.0
22,13,100.0
22,14,100.0
22,15,100.0
22,16,100.0
22,17,100.0
22,18,100.0
22,19,100.0
22,20,100.0
22,21,64.72251564264297
22,22,-15.244371202256945
22,23,-23.87874772813585
22,24,-28.42551506890191
22,25,-42.890979290008545
22,26,-55.8522105746799
22,27,-55.14087125990126
22,28,-67.31872346666124
22,29,-11.377082029978434
22,30,-34.30178356170654
22,31,-56.81668006049262
22,32,-53.17330890231662
22,33,-2.614730437596639
22,34,100.0
22,35,100.0
22,36,100.0
22,37,100.0
23,0,100.0
23,1,100.0
23,2,100.0
23,3,100.0
23,4,100.0
23,5,100.0
23,6,100.0
23,7,100.0
23,8,100.0
23,9,100.0
23,10,100.0
23,11,100.0
23,12,100.0
23,13,100.0
23,14,100.0
23,15,100.0
23,16,100.0
23,17,100.0
23,18,100.0
23,19,100.0
23,20,100.0
23,21,11.708775699138641
23,22,-17.359917720158894
23,23,-24.33346462249756
23,24,-30.951703866322834
23,25,-42.13556170463562
23,26,-55.640907287597656
23,27,-60.8527463277181
23,28,-58.03342151641846
23,29,-59.74439811706543
23,30,-59.144834200541176
23,31,-59.05667241414388
23,32,-45.798302014668785
23,33,11.178735978901386
23,34,65.58913954099019
23,35,11.398348927497864
23,36,80.90838368733723
23,37,100.0
24,0,100.0
24,1,100.0
24,2,100.0
24,3,100.0
24,4,100.0
24,5,100.0
24,6,100.0
24,7,100.0
24,8,100.0
24,9,100.0
24,10,100.0
24,11,100.0
24,12,100.0
24,13,100.0
24,14,100.0
24,15,100.0
24,16,100.0
24,17,100.0
24,18,100.0
24,19,100.0
24,20,100.0
24,21,0.4435500701268514
24,22,-18.575577312045628
24,23,-19.89219315846761
24,24,-29.53099208407932
24,25,-38.153978983561196
24,26,-53.65321773952908
24,27,-26.149859110514324
24,28,-65.83995225694444
24,29,-64.6206070582072
24,30,-65.64768430921767
24,31,-62.60111829969618
24,32,-52.9199473063151
24,33,3.493998698890209
24,34,63.27897050645616
24,35,-48.981481870015465
24,36,12.033120473225912
24,37,100.0
25,0,100.0
25,1,100.0
25,2,100.0
25,3,100.0
25,4,100.0
25,5,100.0
25,6,100.0
25,7,100.0
25,8,100.0
25,9,100.0
25,10,100.0
25,11,100.0
25,12,100.0
25,13,100.0
25,14,100.0
25,15,100.0
25,16,100.0
25,17,100.0
25,18,100.0
25,19,100.0
25,20,100.0
25,21,45.97264428933462
25,22,-9.673317697313097
25,23,-8.858863459693062
25,24,-22.827680799696182
25,25,-29.975099245707195
25,26,-65.58881251017253
25,27,-40.30792384677463
25,28,-66.78223546346028
25,29,-66.35677401224773
25,30,-67.40667215983073
25,31,-68.5800895690918
25,32,-54.86109500461154
25,33,12.78408775726954
25,34,53.41100454330444
25,35,-62.70037693447537
25,36,-5.1127214431762695
25,37,100.0
26,0,100.0
26,1,100.0
26,2,100.0
26,3,100.0
26,4,100.0
26,5,100.0
26,6,100.0
26,7,100.0
26,8,100.0
26,9,100.0
26,10,100.0
26,11,100.0
26,12,100.0
26,13,100.0
26,14,100.0
26,15,100.0
26,16,100.0
26,17,100.0
26,18,100.0
26,19,100.0
26,20,100.0
26,21,82.97502173980077
26,22,-4.634438090854221
26,23,-9.231097221374512
26,24,-13.365455521477593
26,25,-27.01825539271037
26,26,-40.9408384958903
26,27,-46.1799439324273
26,28,-43.752747005886505
26,29,-69.90242799123128
26,30,-70.9055887858073
26,31,-73.16434139675565
26,32,-61.191375732421875
26,33,29.74748198191325
26,34,12.460629940032959
26,35,-51.84658898247613
26,36,19.217220730251736
26,37,100.0
27,0,100.0
27,1,100.0
27,2,100.0
27,3,100.0
27,4,100.0
27,5,100.0
27,6,100.0
27,7,100.0
27,8,100.0
27,9,100.0
27,10,100.0
27,11,100.0
27,12,100.0
27,13,100.0
27,14,100.0
27,15,100.0
27,16,100.0
27,17,100.0
27,18,100.0
27,19,100.0
27,20,100.0
27,21,74.0437608808279
27,22,-10.809131940205893
27,23,-14.810667514801025
27,24,-17.28676176071167
27,25,-24.78625190258026
27,26,-40.12745221455892
27,27,-39.440779050191246
27,28,-35.44432703653971
27,29,-61.223797082901
27,30,-63.32305494944254
27,31,-74.43759409586589
27,32,-72.33269373575847
27,33,-12.455470442771912
27,34,-33.696228658159576
27,35,-76.42416413625081
27,36,30.913448333740234
27,37,100.0
28,0,100.0
28,1,100.0
28,2,100.0
28,3,100.0
28,4,100.0
28,5,100.0
28,6,100.0
28,7,100.0
28,8,100.0
28,9,100.0
28,10,100.0
28,11,100.0
28,12,100.0
28,13,100.0
28,14,100.0
28,15,100.0
28,16,100.0
28,17,100.0
28,18,100.0
28,19,100.0
28,20,100.0
28,21,100.0
28,22,4.10782610045539
28,23,-17.247745937771267
28,24,-23.05339569515652
28,25,-24.715131282806396
28,26,-28.888682577345108
28,27,-25.389040417141384
28,28,-15.306577258639866
28,29,-42.63472227255503
28,30,-53.52100711398654
28,31,-76.79341973198785
28,32,-77.54668935139973
28,33,-61.92022252082825
28,34,-33.567457834879555
28,35,-98.85344102647569
28,36,-106.80459531148274
28,37,-16.7762025197347
29,0,100.0
29,1,100.0
29,2,100.0
29,3,100.0
29,4,100.0
29,5,100.0
29,6,100.0
29,7,100.0
29,8,100.0
29,9,100.0
29,10,100.0
29,11,100.0
29,12,100.0
29,13,100.0
29,14,100.0
29,15,100.0
29,16,100.0
29,17,100.0
29,18,100.0
29,19,100.0
29,20,100.0
29,21,100.0
29,22,100.0
29,23,87.93771902720134
29,24,13.892525884840223
29,25,-23.109943230946858
29,26,-27.288840611775715
29,27,-23.651540782716538
29,28,-26.535656187269424
29,29,-38.630892276763916
29,30,-65.79249699910481
29,31,-72.0389650132921
29,32,-77.1922476026747
29,33,-77.78295707702637
29,34,-52.88279342651367
29,35,-160.6991933186849
29,36,-565.5572374131945
29,37,-635.420888264974
30,0,100.0
30,1,100.0
30,2,100.0
30,3,100.0
30,4,100.0
30,5,100.0
30,6,100.0
30,7,100.0
30,8,100.0
30,9,100.0
30,10,100.0
30,11,100.0
30,12,100.0
30,13,100.0
30,14,100.0
30,15,100.0
30,16,100.0
30,17,100.0
30,18,100.0
30,19,100.0
30,20,100.0
30,21,100.0
30,22,100.0
30,23,88.16998974482219
30,24,-12.50440920723809
30,25,-23.585012753804524
30,26,-26.737740410698784
30,27,-22.131149291992188
30,28,-26.501934475368923
30,29,-44.605886459350586
30,30,-57.568780263264976
30,31,-66.17321311102972
30,32,-75.00416904025607
30,33,-82.0808499654134
30,34,-86.02582846747504
30,35,-301.4220903184679
30,36,-751.5126342773438
30,37,-804.9977620442709
31,0,100.0
31,1,100.0
31,2,100.0
31,3,100.0
31,4,100.0
31,5,100.0
31,6,100.0
31,7,100.0
31,8,100.0
31,9,100.0
31,10,100.0
31,11,100.0
31,12,100.0
31,13,100.0
31,14,100.0
31,15,100.0
31,16,100.0
31,17,100.0
31,18,100.0
31,19,100.0
31,20,100.0
31,21,100.0
31,22,100.0
31,23,52.02224561903212
31,24,-17.652138710021973
31,25,-25.472507158915203
31,26,-22.253260294596355
31,27,-29.919031778971355
31,28,-36.138793309529625
31,29,-51.83476161956787
31,30,-54.28302298651801
31,31,-76.03770022922092
31,32,-58.996963289048935
31,33,-12.362434029579163
31,34,-177.0723181830512
31,35,-661.2914021809896
31,36,-936.8936631944445
31,37,-793.1349297629463
32,0,100.0
32,1,100.0
32,2,100.0
32,3,100.0
32,4,100.0
32,5,100.0
32,6,100.0
32,7,100.0
32,8,100.0
32,9,100.0
32,10,100.0
32,11,100.0
32,12,100.0
32,13,100.0
32,14,100.0
32,15,100.0
32,16,100.0
32,17,100.0
32,18,100.0
32,19,100.0
32,20,100.0
32,21,100.0
32,22,100.0
32,23,-1.1442085703214009
32,24,-19.96338192621867
32,25,-26.50185763835907
32,26,-29.359009901682537
32,27,-39.321946144104004
32,28,-47.205409367879234
32,29,-59.574361085891724
32,30,-73.74265638987224
32,31,-89.55594571431477
32,32,-30.25380523999532
32,33,-17.491996198892593
32,34,-258.48217487335205
32,35,-1022.0419769287109
32,36,-1204.1559143066406
32,37,-1258.8245137532551
33,0,100.0
33,1,100.0
33,2,100.0
33,3,100.0
33,4,100.0
33,5,100.0
33,6,100.0
33,7,100.0
33,8,100.0
33,9,100.0
33,10,100.0
33,11,100.0
33,12,100.0
33,13,100.0
33,14,100.0
33,15,100.0
33,16,100.0
33,17,100.0
33,18,100.0
33,19,100.0
33,20,100.0
33,21,100.0
33,22,41.69331587685479
33,23,-16.06188498602973
33,24,-23.18672815958659
33,25,-29.858692169189453
33,26,-26.44867621527778
33,27,-51.549149407280815
