Sablefish_cpue,revenue,distance,habit,Dover Sole_cpue
-0.259852701502,0.669201857972,-0.00384598005067,1.35292801171,-0.00657162884551
-0.280192654754,0.739459971981,-0.00413357694191,1.89641712977,-0.0383482853512
-0.143326347761,0.375364156016,-0.0034477044949,0.982006461867,-0.0213076471411
-0.299047799484,0.760967333454,0.0108186176218,1.92979602435,-0.0355046688718
-0.326122811797,0.748019576465,0.00330893756786,1.79917704213,-0.031611609532
-0.35001022322,0.79057859101,-0.00215306511317,1.92954383356,-0.0440221980995
-0.39291378363,0.716379939369,-0.0486277450043,1.80553798503,-0.0314511847251
-0.175736149423,0.413796485343,-0.00355868818548,1.0607362619,-0.0172577478582
-0.148876439972,0.33600254515,-0.00433284590896,0.829083531879,-0.0193631980989
-0.159230527134,0.735958371566,-0.000788977630418,1.91450899151,-0.0234260335118
-0.373775074262,0.746397997124,-0.00460639724804,1.86019380924,-0.0385002162874
-0.262071834005,0.580554680075,-0.00639769034654,1.48562052527,-0.030292275114
-0.174025819194,0.349455349719,-0.00822289880426,0.881970601699,-0.0189268145694
-0.211800387575,0.481495528797,-0.00399803660139,1.15866799238,-0.0241823967959
-0.195148781443,0.446227966047,-0.0017139967545,1.18103205537,-0.00558116357127
-0.399386249499,0.75676928648,0.0144453650876,1.85185585686,-0.0329768794639
-0.341869466625,0.791194365263,-0.106166727669,1.95359040844,-0.041882346641
-0.3499072464,0.752103064302,-0.00127205659017,1.96901536373,-0.0402829578053
-0.302484549191,0.769724975117,-0.00575399652796,1.87641172093,-0.0317574971877
-0.190110027821,0.453079905868,-0.00270469808092,1.19484283869,-0.0164865460107
-0.168611797775,0.431433462354,-0.00656307552545,1.0864607549,-0.0239553946033
0.0902728470378,0.635077219002,-0.00358905415262,1.9012773947,-0.0512394863902
-0.321006858706,0.708993912029,-0.00273716272709,1.84194168379,-0.0280415873265
-0.154346949621,0.346841017963,-0.0280641642907,0.926219178525,-0.0222234321436
-0.360943515127,0.770289827036,-0.00865228352471,1.95372564332,-0.0458968664851
-0.156208836395,0.302157526701,-0.00437729055904,0.737022198035,-0.00795951655692
-0.244435092488,0.721596680682,-0.00740176758855,1.89607102801,-0.0427790261006
-0.125985452258,0.304928199924,-0.00842408515232,0.78735376539,-0.0163812441681
-0.397072443965,0.708246792837,0.000302205679113,1.82517382665,-0.028860249471
-0.156129692769,0.404044681258,-0.00331210518743,1.06624296461,-0.0194067322247
-0.276249467184,0.657988878062,-0.007313936204,1.6684472176,-0.0372789692748
-0.35845157946,0.779326101336,-0.0120396935334,1.96681498047,-0.0427175367338
0.0680531014878,0.688502248345,-0.00808294392438,2.17232296025,-0.0458954996039
-0.484981124283,0.778691799179,-0.0279397910569,2.03060684848,-0.0392781147256
