x,y,layer
105.03425464816024,-9.976219327496276,2.841828834839147e-4
105.033212911556,-9.928303874813713,2.867127014049745e-4
105.03217117495176,-9.880388422131148,2.9019305385853824e-4
105.03413889964867,-9.829695262046698,2.9151058612549155e-4
105.03228692346333,-9.776918821410831,2.902286347438208e-4
105.03425464816024,-9.726225661326382,2.874863410148066e-4
105.033212911556,-9.678310208643818,2.848535572579484e-4
105.03217117495176,-9.630394755961252,2.826089688388217e-4
105.03413889964867,-9.579701595876802,2.797468691179851e-4
105.03228692346333,-9.526925155240935,2.77364133979866e-4
105.03425464816024,-9.476231995156487,2.76982534544844e-4
105.033212911556,-9.428316542473919,2.7658995600848965e-4
105.03217117495176,-9.380401089791357,2.741870391238706e-4
105.03413889964867,-9.329707929706908,2.708321118679448e-4
105.03228692346333,-9.27693148907104,2.6930512265060165e-4
105.03425464816024,-9.22623832898659,2.6913766082765537e-4
105.033212911556,-9.178322876304025,2.691590542096431e-4
105.03217117495176,-9.130407423621463,2.684967757081705e-4
105.03413889964867,-9.07971426353701,2.650171108471982e-4
105.03228692346333,-9.026937822901143,2.6157552554795547e-4
105.03425464816024,-8.976244662816695,2.5328486003851024e-4
105.033212911556,-8.928329210134129,2.524086374244343e-4
105.0348796901228,-8.878330476900151,2.51875618072805e-4
105.03559402379429,-8.830117412710242,2.4973551070887884e-4
105.0307127437058,-8.774999761549928,2.487562935365407e-4
105.035990875834,-8.730649033366454,2.4718912689549247e-4
105.031823929417,-8.678335543964234,2.462678263536025e-4
105.03169765831345,-8.629473145576481,2.445895321432921e-4
105.03217117495174,-8.580421358047692,2.4338967079251986e-4
105.03217117495176,-8.530422624813713,2.4180587724700062e-4
105.03797513603257,-8.480126280072387,2.412705104789827e-4
105.03202235543685,-8.425365762720887,2.41797562446838e-4
105.0323795222726,-8.380843081222059,2.455260277786617e-4
105.033212911556,-8.329733265027325,2.517258181195402e-4
105.03169765831345,-8.277966899810329,2.5808024411110654e-4
105.03321291155599,-8.232513505961254,2.616831504719419e-4
105.03217117495176,-8.17418165052161,2.72180644589653e-4
105.03440346767515,-8.128944701405155,2.74567768899952e-4
105.029045965139,-8.078350745156484,2.8620815459507067e-4
105.03506488774133,-8.030666768090745,3.107014410918633e-4
105.034601893695,-7.978353278688527,3.2254185105881167e-4
105.0311294383475,-7.9241879843517165,3.659691283756309e-4
105.033212911556,-7.877892860986919,3.781292797460921e-4
105.03136093537067,-7.826968225285644,3.6304396801306154e-4
105.03321291155599,-7.7783583457526095,3.390873438158714e-4
105.03440346767515,-7.730145281562703,3.33331178973592e-4
105.033212911556,-7.678360879284652,3.6007483057020885e-4
105.033212911556,-7.628362146050671,4.11557689300999e-4
105.0352963847645,-7.5825299739195255,4.155577332704434e-4
105.03008770174326,-7.53044796013413,3.8468305683343236e-4
105.03413889964867,-7.476977092647791,3.9095714919012e-4
105.03008770174326,-7.42628393256334,4.2262193747078875e-4
105.03678457991343,-7.377773256866087,4.462906426918687e-4
105.03529638476451,-7.329411386922506,4.6126037389830025e-4
105.03217117495176,-7.28253757451565,4.5660497303353037e-4
105.033212911556,-7.2269834264778945,4.5801041959729524e-4
105.033212911556,-7.17837354694486,4.598957851131872e-4
105.033212911556,-7.131708062593147,4.686740076661009e-4
105.035990875834,-7.07883903171055,5.277709925613128e-4
105.03217117495176,-7.031502268070048,5.405668585925881e-4
105.033212911556,-6.980693370177183,5.587393342398102e-4
105.03529638476451,-6.926296600223549,6.335140148221077e-4
105.033212911556,-6.880464428092401,7.060478670238336e-4
105.03506488774133,-6.8251417556714715,6.665038158386878e-4
105.0315461329892,-6.780883617734725,6.234049082113065e-4
105.033212911556,-6.728384947839048,6.380485848156901e-4
105.03321291155599,-6.6789814376197585,6.401792895895979e-4
105.03321291155599,-6.630702237539332,7.331230608763084e-4
105.0340463008394,-6.577555435916543,0.003574042865120551
105.02964124319857,-6.528985237917821,0.0022132112577432196
105.033212911556,-6.478391281669151,0.003911856139748211
105.0298793544224,-6.42922586065574,0.004675409371753719
105.03916569215171,-6.380179484245266,0.001978809570047437
105.038768840112,-6.328858033200862,0.0010771796909320272
105.03202235543687,-6.277801125718544,7.703099189062006e-4
105.035990875834,-6.228397615499256,9.198766714937677e-4
105.03559402379429,-6.177803659250587,0.0012574663168246215
105.033212911556,-6.131733397913564,0.001613106119872136
105.03321291155599,-6.07793846456367,0.0010215451973633787
105.030434947278,-6.027013828862398,9.29026614442272e-4
105.03202235543687,-5.97780872631467,9.196064733868584e-4
105.03136093537067,-5.927016362394438,9.713736881117208e-4
105.03842159457724,-5.877364842585694,0.0013968278083937762
105.03228692346333,-5.8288707008610725,0.00227300109273231
105.03202235543687,-5.782575577496275,0.18958175767199256
105.008211233054,-5.74090996646796,2.31188227576069e-4
105.058214590058,-2.365995473174365,1.69166578682011e-4
105.035990875834,-2.328496423248885,1.69166578682011e-4
105.029045965139,-2.278497690014905,2.4280861461037384e-4
105.03700104466236,-2.2273626219346983,6.298158849788522e-4
105.033212911556,-2.1753753027198215,0.0011169774373377193
105.03217117495174,-2.127459850037259,0.00169061852104146
105.0311294383475,-2.0785027570789887,0.0022214648997407023
105.03425464816024,-2.025379103017885,0.0034371232029521376
105.0311294383475,-1.9764220100596126,0.00357059626703779
105.03217117495176,-1.9285065573770512,0.002516361390287641
105.033212911556,-1.8774661838673636,0.0019582308680233976
105.03169765831345,-1.8281303126270163,0.0018574545453127853
105.0311294383475,-1.77434379657228,0.0018504309894619823
105.02964124319857,-1.7302972934852057,0.0017866861447105443
105.03797513603257,-1.6755367761337043,0.0016989323313111615
105.0323795222726,-1.627680845752609,0.001330640274443438
105.037379857973,-1.5774737844634887,0.0013606573540746974
105.033212911556,-1.5303023605492871,0.0012322405034691727
105.033212911556,-1.4789809095048867,0.0011248448923792066
105.03228692346333,-1.4289821762709067,0.0010460633513766193
105.0311294383475,-1.3795621320789888,0.00107307300206225
105.03440346767515,-1.3255456434958501,0.001046447493135128
105.03559402379429,-1.2779278023206315,0.001003278908793063
105.031823929417,-1.2285242921013417,0.001011612542122819
105.03559402379429,-1.177930335852673,9.952091478432044e-4
105.03136093537067,-1.127137971932441,9.007236965143949e-4
105.03506488774133,-1.0808428485676445,8.812167361750746e-4
105.034601893695,-1.028529359165425,0.0010013475900289472
105.03136093537067,-0.9771417722305028,0.0010383571994147878
105.03633812136874,-0.9285318926974675,0.0010653742879918463
105.03571307940621,-0.8760332228017894,0.0010614317659253514
105.03228692346333,-0.829923279930453,9.817571732607649e-4
105.03245528493473,-0.7766418015851521,8.37019504890234e-4
105.03797513603257,-0.7279417367468606,8.989524526150432e-4
105.03425464816026,-0.6764549459761562,0.001132906446912708
105.033212911556,-0.6280765420599449,0.0014555183739946255
105.033212911556,-0.5779455370449232,0.0015550292746239315
105.03425464816024,-0.5243754657228026,0.0018929096750787161
105.033212911556,-0.4785432935916551,0.0025076904170839875
105.03506488774133,-0.43178521899321176,0.002347476867262408
105.033212911556,-0.37993468082464077,0.002156712033027753
105.033212911556,-0.32854709388971787,0.0013234480168284241
105.030434947278,-0.2790113118893863,0.001545970754857607
105.033212911556,-0.22854962742175933,0.0015101396359767367
105.0311294383475,-0.17855089418778036,0.0016034338808456213
105.03654646868961,-0.1277188487332351,0.001724239702676981
105.02950895918534,-0.07994228142076605,0.001890393829853299
105.03691686392666,-0.02994354818678681,0.0020713029706200766
105.09050842479013,-9.980385888599107,2.843168523848626e-4
105.09247614948711,-9.929692728514658,2.84524210725089e-4
105.09062417330178,-9.876916287878787,2.8650153729703687e-4
105.09259189799874,-9.82622312779434,2.891186726331291e-4
105.09155016139437,-9.778307675111774,2.9161553202666513e-4
105.09050842479013,-9.730392222429213,2.905300178516575e-4
105.09247614948711,-9.67969906234476,2.865962226566289e-4
105.09062417330178,-9.626922621708893,2.838728952827639e-4
105.09259189799874,-9.576229461624441,2.8100324374643313e-4
105.09155016139437,-9.528314008941878,2.7746676651446673e-4
105.09050842479013,-9.480398556259319,2.753425915650508e-4
105.09247614948711,-9.429705396174864,2.75722904239731e-4
105.09062417330178,-9.376928955538997,2.75117756368714e-4
105.09259189799874,-9.326235795454547,2.7120725976543435e-4
105.09155016139437,-9.278320342771982,2.6806422212352946e-4
105.09050842479013,-9.2304048900894209,2.697410779506569e-4
105.09247614948711,-9.17971173000497,2.670347514749857e-4
105.09062417330178,-9.126935289369102,2.65912006866294e-4
105.09259189799874,-9.076242129284651,2.62775822385265e-4
105.09155016139437,-9.028326676602086,2.613650991783946e-4
105.09050842479013,-8.980411223919525,2.53346441314343e-4
105.09247614948711,-8.929718063835072,2.5091664042544223e-4
105.0927407175137,-8.881306591973603,2.50003712037769e-4
105.09155016139444,-8.82879469489982,2.4852259834703266e-4
105.09259189799863,-8.782499571535025,2.4775908876195336e-4
105.09274071751356,-8.730119946242285,2.4656587574613487e-4
105.09432812567233,-8.678335543964234,2.447590738061948e-4
105.09274071751356,-8.626551141686184,2.42938029264706e-4
105.08946668818575,-8.57729643722057,2.4212477177513688e-4
105.09062417330178,-8.528802295495947,2.4140081187956378e-4
105.08678793691772,-8.476554941984245,2.4136576252338087e-4
105.08877219711633,-8.431582536429875,2.4399584693107732e-4
105.093633634603,-8.375218223733237,2.5422467930488903e-4
105.09050842479024,-8.324177850223547,2.6129696783618625e-4
105.09274071751356,-8.278940901107093,2.7170088215131526e-4
105.08678793691757,-8.226561275814351,2.722600651658044e-4
105.0940503292447,-8.18168146050671,2.704992505547032e-4
105.092476149487,-8.126960624689522,2.783807828362069e-4
105.09155016139451,-8.078350745156484,3.088115383902311e-4
105.09035960527528,-8.026566342878434,3.1366658462077826e-4
105.08784620902367,-7.9760385225202866,3.398909813088478e-4
105.08738321497725,-7.930437826005965,3.7039432773808273e-4
105.09363363460287,-7.880439092771983,3.987374819091905e-4
105.09340213757977,-7.8297459326875325,3.755640396018658e-4
105.09016117925516,-7.7783583457526095,3.367168391262943e-4
105.08969818520912,-7.7269707588176875,3.465740261047591e-4
105.08599423283833,-7.676046123116411,3.840462785765398e-4
105.093065414637,-7.629498480896898,4.239470581866897e-4
105.08797849303686,-7.577768189802003,4.01841075665398e-4
105.089698185209,-7.527901728349068,3.842623473691657e-4
105.09259189799874,-7.477324306073028,4.012954480024e-4
105.0932169399612,-7.430033837555887,4.396025334131375e-4
105.08946668818587,-7.3825350409836075,4.6094223772735174e-4
105.09340213757989,-7.325129088011263,4.6371880429033e-4
105.09062417330178,-7.275130354777282,4.5936324818070945e-4
105.09432812567256,-7.229761133879782,4.553022610712282e-4
105.093065414637,-7.179509881791087,4.641583602177891e-4
105.09259189799887,-7.12420825260805,5.076161300008733e-4
105.09710608995067,-7.077913129243253,5.356032546208884e-4
105.09062417330178,-7.026988493541979,5.68040418903741e-4
105.09050842479024,-6.9773369737332365,6.215001115789045e-4
105.09340213757989,-6.9288428320086135,7.181630815134027e-4
105.08969818520922,-6.877918196307337,7.492791808308156e-4
105.09035960527528,-6.827787191292317,0.00072750597885637295
105.0915501613945,-6.775258760245904,8.391830779047008e-4
105.08599423283833,-6.726996094138104,8.626430490787249e-4
105.086341478373,-6.6825527757079,0.0013977599368811852
105.08599423283816,-6.6283874813710915,0.1671529872529452
105.09467537120737,-6.579430388412819,0.07311550801462921
105.09230778801573,-6.528011236621056,0.012551688962972244
105.0898833828276,-6.479224593889718,0.005743677531684372
105.09363363460275,-6.427350908159465,0.004739007103708962
105.089169049156,-6.377798592186505,0.0032083594944425056
105.0915501613945,-6.328395081967215,0.0015364686576371867
105.0923835506778,-6.278396348733235,9.564893021013174e-4
105.08529974176875,-6.226314334947841,8.282980469153905e-4
105.08738321497736,-6.180482162816692,8.816909896287212e-4
105.09155016139442,-6.125424033957847,9.345121655732092e-4
105.089169049156,-6.076615746753247,9.252290122074006e-4
105.09155016139444,-6.029791536264286,9.236116994090487e-4
105.0930654146371,-5.978782727611436,9.384917484127713e-4
105.08946668818587,-5.930488496646797,0.0012821573164921443
105.09155016139442,-5.881382597934853,0.0025115104528050615
105.09155016139437,-5.82632446907601,0.10835342318286928
105.08321626856025,-5.786742138599108,0.00701129519064797
105.108217947063,-2.361828912071535,1.69166578682011e-4
105.089698185209,-2.32525576461335,1.8200409300868212e-4
105.09155016139451,-2.278497690014905,4.379545019484585e-4
105.09869349810971,-2.2302846258249955,8.47505634747206e-4
105.09247614948711,-2.1808149797151843,0.0011336187674822608
105.08946668818575,-2.127459850037259,0.0012790896960427406
105.08738321497725,-2.07746111680328,0.001521406785818262
105.08678793691772,-2.030289692889079,0.0014794391030330345
105.08738321497725,-1.9795469308867362,0.0013084946394179167
105.09062417330178,-1.9271177036761078,0.0015064327011483816
105.08842495158163,-1.8805911046944874,0.001952534394547335
105.09274071751356,-1.8291043139237815,0.0019354215034920299
105.094883718528,-1.781843606557377,0.00206106407491899
105.0890499935442,-1.728511624441135,0.002072714008679175
105.09155016139437,-1.678512891207155,0.001853335381610305
105.093633634603,-1.6295557982488824,0.0016178728767275124
105.08738321497717,-1.5785154247391966,0.00150112975777332
105.0940503292446,-1.52768337928465,0.0014959256664911918
105.09432812567256,-1.47805500703759,0.0013567622248888988
105.09155016139437,-1.4306025055886737,0.001227329189960206
105.09155016139434,-1.3799093455042233,0.0012252282358598211
105.0884249515815,-1.3306050391207176,0.0011369520016186762
105.08738321497736,-1.2774813850596138,0.0012539582004316336
105.0882166042608,-1.2293576043219079,0.0012224575466477999
105.09050842479,-1.18060883941878,0.0012188387589188074
105.09340213757977,-1.129915679334329,0.0011821341529118267
105.09035960527528,-1.0779328693847143,0.0011852646178064114
105.0915501613944,-1.027696046944859,0.0012507876193798449
105.08946668818587,-0.9826971870342782,0.0012363761592826875
105.0915501613945,-0.924365331594636,0.0013337198174015212
105.095121829752,-0.8815092745369394,0.0013625956122750272
105.09155016139437,-0.8264511456780934,0.0013789516664452612
105.09512182975186,-0.7815118080689811,0.0013518520318783114
105.09155016139437,-0.727495319485843,0.0013955601134216762
105.09432812567245,-0.6808529826958118,0.0014719853059800933
105.09050842479024,-0.6316644141207167,0.0015079759570688761
105.09062417330166,-0.5808555162278534,0.0014815689987930777
105.09050842479013,-0.5285420268256344,0.0016326721651687714
105.09247614948711,-0.4780803423580071,0.0021721295024608313
105.09467537120725,-0.42646127980626053,0.0028046370840516723
105.09363363460287,-0.379587467399405,0.003445502798684345
105.09155016139425,-0.3275054536140101,0.0033278273087920486
105.09155016139444,-0.27808540942209065,0.00227076989499763
105.08599423283833,-0.22808667618811132,0.0018524581873173688
105.08738321497725,-0.17855089418778036,0.0017544104379046714
105.09631238587114,-0.13152827602725242,0.0018195583742709228
105.08969818520912,-0.07716457401887843,0.0020033243839537055
105.09016117925533,-0.028554694485843097,0.00213391684498076
105.145720464816,-9.978302608047692,2.8377838086208286e-4
105.14750629899471,-9.926518205769643,2.839327172615009e-4
105.14631574287557,-9.877709918565042,0.00028390542919717383
105.14512518675643,-9.828901631360445,2.868515320489529e-4
105.14393463063729,-9.780093344155846,2.91315180380782e-4
105.145720464816,-9.728308941877795,2.9202092817551327e-4
105.14750629899471,-9.676524539599745,2.8332684652656513e-4
105.14631574287557,-9.627716252395146,2.821867760827737e-4
105.14512518675643,-9.578907965190549,2.819576769311841e-4
105.14393463063729,-9.530099677985948,2.767195235939649e-4
105.145720464816,-9.478315275707901,2.7378562513215624e-4
105.14750629899471,-9.426530873429849,2.74192068415407e-4
105.14631574287557,-9.377722586225252,2.7325520919828616e-4
105.14512518675643,-9.328914299020653,2.715746232904393e-4
105.14393463063729,-9.280106011816054,2.666009228537154e-4
105.145720464816,-9.228321609538005,2.6666554618054976e-4
105.14750629899471,-9.176537207259955,2.646861835542944e-4
105.14631574287557,-9.127728920055358,2.64059185702178e-4
105.14512518675643,-9.078920632850757,2.6131701172658173e-4
105.14393463063729,-9.030112345646158,2.58058901487347e-4
105.145720464816,-8.978327943368111,2.539168620766212e-4
105.14750629899471,-8.926543541090057,2.518500356619023e-4
105.14274407451813,-8.8753543618267,2.4949658386539184e-4
105.14884567462875,-8.826248463114755,2.48061596220659e-4
105.14155351839901,-8.778333010432194,2.4702583636905084e-4
105.14467872821174,-8.724167716095383,2.4489449754195436e-4
105.135997589843,-8.678335543964234,2.4381402373501717e-4
105.138775554121,-8.628336810730255,2.4227074819398232e-4
105.14467872821174,-8.57729643722057,2.41505268018647e-4
105.14631574287557,-8.525363229188848,2.41478325589147e-4
105.145720464816,-8.478340611028317,2.4276987803425158e-4
105.14676220142024,-8.42730023751863,2.5337938487257313e-4
105.142942500538,-8.378343144560361,2.6132711281601635e-4
105.14393463063729,-8.331320526399832,2.660746025212713e-4
105.138775554121,-8.278345678092403,2.730625037742548e-4
105.14340549458433,-8.226032188690182,2.727960714565689e-4
105.149887411233,-8.178348211624444,2.7903315257111317e-4
105.14884567462875,-8.129391118666172,2.9911178414861574e-4
105.15405435765,-8.078350745156484,3.157804915548557e-4
105.1436369916075,-8.027310371646797,3.2045365658780973e-4
105.14803543504766,-7.980668034856767,3.5914941693755367e-4
105.14363699160751,-7.930437826005964,3.8487318991896314e-4
105.14512518675643,-7.876570143176496,4.0667928123462214e-4
105.145720464816,-7.828357078986588,3.6324908227268585e-4
105.14051178179476,-7.7783583457526095,3.359085039411202e-4
105.1478039380245,-7.728359612518632,3.713370329868174e-4
105.147109446955,-7.680675635452892,4.094328624884731e-4
105.15345907959043,-7.626576477006601,4.0764270827663726e-4
105.144331482677,-7.575122754181158,3.828772948459531e-4
105.14512518675643,-7.5265790105386445,3.9670366551925373e-4
105.14512518675643,-7.481342061422185,4.1886106548721973e-4
105.148498429094,-7.428367213114755,4.5007933343095785e-4
105.147109446955,-7.375127821245241,4.6113611013343987e-4
105.14869685511385,-7.33134586172025,4.609889550349964e-4
105.14631574287557,-7.277775790398128,4.6353002139224586e-4
105.147109446955,-7.228372280178839,4.614773406856835e-4
105.15345907959043,-7.17658787790079,5.235860039219612e-4
105.142942500538,-7.128374813710882,5.097348762274669e-4
105.149887411233,-7.078376080476902,5.640122673583509e-4
105.14631574287557,-7.0265916781988524,6.246544149185798e-4
105.14393463063729,-6.976592944964873,6.94096016109526e-4
105.14869685511385,-6.930165549819035,7.45650969428412e-4
105.14631574287557,-6.876595478496914,7.992777488455722e-4
105.1436369916075,-6.832548975409837,8.655303720998843e-4
105.141553518399,-6.778383681073027,0.0014036247212267908
105.147109446955,-6.729773801539992,0.005075537630599453
105.14525747076966,-6.674219653502236,0.010946158145258376
105.144331482677,-6.6311651887729806,0.018623909096306512
105.141553518399,-6.55755594262295,0.0636535276980736
105.151276393372,-6.528390014903132,0.010911225129966503
105.149887411233,-6.4773496413934435,0.003954511917145384
105.14155351839901,-6.428392548435173,0.00361210599660634
105.1465538540994,-6.3775605029806295,0.002940137315245977
105.144331482677,-6.327932130733568,0.0016620585985790243
105.149887411233,-6.278991571747926,0.0010464837107829062
105.1465538540994,-6.230064239940389,9.885328481316542e-4
105.14618345886234,-6.177010028564332,9.963540983856e-4
105.141553518399,-6.126614479987227,9.41154806906835e-4
105.14259525500324,-6.080484696348735,9.281834631563086e-4
105.144331482677,-6.028402682563342,9.280876797869959e-4
105.15266537551099,-5.97840394932936,0.0011159982938409472
105.14274407451815,-5.927809993080691,0.0014348821490577557
105.14618345886234,-5.877017629160458,0.005603153304154413
105.142942500538,-5.8339631644312,0.08202712823599186
105.141553518399,-2.3576623509687,1.69166578682011e-4
105.14896142314034,-2.33173708188442,1.9446177938114623e-4
105.15405435765,-2.278497690014905,7.553772383610927e-4
105.14433148267699,-2.228498956780925,0.001369072739667515
105.14750629899471,-2.179095446561636,0.0012242997818992386
105.14467872821174,-2.130584770864383,7.69884271571862e-4
105.1432202969658,-2.087669191505218,2.836231101971492e-4
105.124885732731,-1.9826718517138602,1.69166578682011e-4
105.13988673983219,-1.92433999627422,6.195173656248306e-4
105.14467872821174,-1.8774661838673639,0.0012543656100911622
