"Mean biomass (tons), excluding first ages specified in input"
"Time","smallpelagic1","macrozooplankton","demersal1","demersal2","demersal3","mesopelagic","smallpelagic2","smallpelagic3","largepelagic1","largepelagic2"
123.75,64571.98,1081864.6,1487607.1,1655437.6,153621.8,557350.4,889071.8,343465.03,114.01929,0.0
124.0,70278.42,522170.66,1462618.9,1579940.9,156927.2,477926.22,965593.44,363619.53,113.489075,0.0
124.25,60958.688,539892.2,1486044.8,1698556.1,149609.42,538560.4,949513.06,353462.7,113.565834,0.0
124.5,52125.543,1165617.4,1511735.2,1823420.5,147574.02,660793.0,892516.1,365754.8,114.61175,0.0
124.75,49047.043,1046346.25,1439473.9,1772931.1,139604.17,577475.94,847314.5,371222.75,115.98307,0.0
125.0,54077.12,488768.12,1391742.0,1728389.5,143195.4,475188.44,878828.94,399131.5,116.192345,0.0
125.25,45915.734,476885.06,1435935.9,1830153.8,129819.38,501995.6,854616.1,370106.03,114.90105,0.0
125.5,47873.26,1108522.6,1453859.9,1853803.5,118808.48,608213.2,836390.2,350104.3,115.74277,0.0
125.75,68065.8,1098851.8,1401631.0,1752872.9,114810.63,504270.47,795513.1,351757.16,116.60155,0.0
126.0,85446.445,536668.8,1369479.0,1665941.8,120776.84,377529.53,869327.1,361029.47,115.18013,0.0
126.25,78607.336,496697.62,1396717.4,1710867.2,130517.32,476415.88,860946.56,337251.2,113.33612,0.0
126.5,73403.4,1155761.0,1408926.5,1696583.0,145356.86,616541.8,835555.06,374350.44,113.44967,0.0
126.75,97317.91,1084754.2,1315595.0,1568038.2,147039.75,529283.94,818539.56,392733.84,112.941666,0.0
127.0,120817.4,531607.44,1285406.0,1444775.0,156319.89,445232.97,866296.2,435377.72,111.189766,0.0
127.25,117474.56,564695.25,1342256.4,1541573.1,169085.69,521642.66,858065.75,409172.7,112.45231,0.0
127.5,104515.69,1184061.9,1358597.5,1638384.2,178166.56,630708.8,817202.44,424526.84,111.73132,0.0
127.75,107983.67,1017623.25,1320299.1,1563702.6,172873.0,534517.4,751380.3,419489.88,109.92379,0.0
128.0,115682.92,495656.62,1315084.1,1461584.2,181148.31,464169.4,789071.3,447489.5,108.76429,0.0
128.25,102838.195,523176.0,1318778.6,1545789.6,186205.44,506383.12,806287.06,429861.0,107.485306,0.0
128.5,104411.76,1145026.1,1312152.6,1636398.0,204791.62,622195.44,789282.2,423466.94,108.52624,0.0
128.75,113725.836,1082318.2,1246526.0,1583195.9,201497.03,523101.28,761253.8,411639.66,107.28882,0.0
129.0,121570.65,505077.25,1200449.4,1549527.0,194192.5,448074.7,785345.2,433697.97,104.41514,0.0
