habit,distance
nan,nan
nan,nan
8.31145410479,-0.0199504384401
nan,nan
0.110605804078,-0.0181984629558
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
7.22344162245,-0.0247276431264
0.223214768635,-0.0185146187584
1.22873789333,-0.0194095901481
nan,nan
-6.6583234519,-0.0183742801878
nan,nan
6.43597395304,-0.0188189941178
nan,nan
nan,nan
nan,nan
0.276368474718,-0.0189917731441
nan,nan
10.8844333402,-0.022425608544
nan,nan
nan,nan
11.4684134617,-0.0211541100249
0.325170299234,-0.015234315486
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
0.590008459757,-0.0230215912564
13.1293691232,-0.021636849553
-0.0147781465078,-0.0157660792109
nan,nan
-9.12637307175,-0.021866232605
0.119181852513,-0.0162354886896
8.49404366604,-0.0224171633566
nan,nan
6.09484291768,-0.0214567842846
-1.31338403964,-0.0197243846948
0.363090476956,-0.0232933133186
4.49804002413,-0.0218276500116
nan,nan
5.57486043057,-0.0212714650823
4.15229144361,-0.0162787077043
nan,nan
1.29739120262,-0.0190881695877
2.64114673644,-0.022785662111
4.61604058928,-0.0205369083752
nan,nan
13.2874919592,-0.0215528144927
4.53561352448,-0.016427399309
6.82347491284,-0.0201780126156
nan,nan
nan,nan
9.49895715638,-0.0174326687178
0.346477256263,-0.0209947262947
0.769557786826,-0.0198575029015
2.15268093753,-0.0175935823536
0.397306244449,-0.0206487971567
4.59015010681,-0.0181070551198
11.5650118563,-0.0239851680903
nan,nan
0.672074632379,-0.0186504150627
nan,nan
3.74625987957,-0.0217016296535
4.33007097154,-0.0234878074142
11.9378228641,-0.0223341762728
8.94158194468,-0.0223696073592
0.888411531578,-0.0184949940682
5.27896358927,-0.0183558623627
0.491774975383,-0.0173115449853
nan,nan
8.30291569796,-0.0195165134777
5.33568952298,-0.0182556791753
nan,nan
5.59334698211,-0.0187913261039
nan,nan
nan,nan
nan,nan
nan,nan
3.8245504586,-0.0178636009983
3.37929866123,-0.0232312061547
0.885173537071,-0.0206376471206
6.86930832877,-0.0248440387464
5.60808477858,-0.0237001375698
nan,nan
nan,nan
nan,nan
nan,nan
0.112805488637,-0.0199215313601
5.63290729815,-0.0195235459183
1.95812228126,-0.0195846077487
3.33763071773,-0.02046319952
nan,nan
nan,nan
