alpha,epsilon,performance
0.04,0.6,-1981.9880598665131
0.04,0.61,-4712.697862326958
0.04,0.62,-7833.010102428831
0.04,0.63,-10054.878973661373
0.04,0.64,-9859.137046026444
0.04,0.65,-13127.321281642497
0.04,0.66,-16811.170231008615
0.04,0.67,-18178.28926055628
0.04,0.68,-21759.136716268476
0.04,0.69,-22409.14110167082
0.04,0.7,-25594.24414736886
0.04,0.71,-27298.689258575716
0.04,0.72,-28050.580381829765
0.04,0.73,-33085.349024122064
0.04,0.74,-34385.06580088294
0.04,0.75,-38019.74776896483
0.04,0.76,-38923.93358514506
0.04,0.77,-43816.642219808586
0.04,0.78,-46825.310043872676
0.04,0.79,-49976.45936748677
0.04,0.8,-46754.83309175348
0.04,0.81,-49018.47023840406
0.04,0.82,-51313.46438934549
0.04,0.83,-53097.85783147271
0.04,0.84,-56366.77191947797
0.04,0.85,-58165.91652542651
0.04,0.86,-60961.309935568206
0.04,0.87,-62349.677030302206
0.04,0.88,-64596.96579975679
0.04,0.89,-65626.81660581025
0.04,0.9,-66881.46472163046
0.04,0.91,-71777.1664262212
0.04,0.92,-73365.50914318163
0.04,0.93,-75867.75361850965
0.04,0.94,-81661.91646224973
0.04,0.95,-81919.65016953342
0.04,0.96,-87028.0812358075
0.04,0.97,-87812.78014088582
0.04,0.98,-90639.34321491623
0.04,0.99,-91973.33110256145
0.04,1.0,-94996.11115800362
0.05,0.0,136290.11744866968
0.05,0.01,183192.6192663732
0.05,0.02,198785.65514233944
0.05,0.03,209855.18231135895
0.05,0.04,213547.15633027686
0.05,0.05,217602.03538078317
0.05,0.06,212548.24893212217
0.05,0.07,210975.87565478368
0.05,0.08,203646.1166154991
0.05,0.09,203164.170780993
0.05,0.1,201985.90425400352
0.05,0.11,193095.83138623642
0.05,0.12,185958.17868722646
0.05,0.13,182900.0574573187
0.05,0.14,179207.04126599777
0.05,0.15,176687.9646121685
0.05,0.16,167455.41142841612
0.05,0.17,163898.20905596102
0.05,0.18,157518.06126004155
0.05,0.19,156059.34541892703
0.05,0.2,148564.36259237217
0.05,0.21,143277.3830729513
0.05,0.22,141537.09048078267
0.05,0.23,135113.53076439982
0.05,0.24,128990.52960602452
0.05,0.25,126608.81021338336
0.05,0.26,120841.11479087194
0.05,0.27,116817.42917031082
0.05,0.28,111177.70597027327
0.05,0.29,108724.28493386935
0.05,0.3,107492.06671575377
0.05,0.31,98824.9930839781
0.05,0.32,98539.86317947738
0.05,0.33,96286.36814550402
0.05,0.34,91359.42158224538
0.05,0.35,88542.82016409228
0.05,0.36,84494.26507391149
0.05,0.37,76909.18581490616
0.05,0.38,72113.14673338177
0.05,0.39,69368.83925344038
0.05,0.4,66797.26815832376
0.05,0.41,64552.667367655384
0.05,0.42,57529.46243239168
0.05,0.43,57929.28873356944
0.05,0.44,53319.638969178246
0.05,0.45,48920.364496032955
0.05,0.46,43357.136166140204
0.05,0.47,39379.49056250199
0.05,0.48,39556.87632464303
0.05,0.49,36907.566903474486
0.05,0.5,36485.05235124266
0.05,0.51,29965.423990324583
0.05,0.52,25288.135342908754
0.05,0.53,21224.28676958347
0.05,0.54,22588.29857569708
0.05,0.55,16509.329948084764
0.05,0.56,13806.663016984385
0.05,0.57,11623.084398343683
0.05,0.58,7291.259575629674
0.05,0.59,5282.500339503443
0.05,0.6,3241.7668832136687
0.05,0.61,-429.1733048368187
0.05,0.62,-781.0587041466251
0.05,0.63,-6667.059774268803
0.05,0.64,-9655.73052513517
0.05,0.65,-11084.78464307074
0.05,0.66,-14071.44647630141
0.05,0.67,-15782.057733829099
0.05,0.68,-18167.134618076285
0.05,0.69,-21803.16935830569
0.05,0.7,-21761.953051681914
0.05,0.71,-27910.209954194834
0.05,0.72,-29119.502458425566
0.05,0.73,-29106.84983985227
0.05,0.74,-30334.893575528462
0.05,0.75,-35169.87199733473
0.05,0.76,-38122.99338543002
0.05,0.77,-40058.28980512093
0.05,0.78,-42502.01579134099
0.05,0.79,-45491.89102157117
0.05,0.8,-45191.56064469768
0.05,0.81,-46549.01607098976
0.05,0.82,-50262.251539521676
0.05,0.83,-54077.345095608835
0.05,0.84,-57289.48617425259
0.05,0.85,-60010.88477135702
0.05,0.86,-63594.061238478695
0.05,0.87,-63743.792905382834
0.05,0.88,-63190.82794339194
0.05,0.89,-67633.1578065529
0.05,0.9,-65592.50832604119
0.05,0.91,-71616.22088263852
0.05,0.92,-72863.90637789761
0.05,0.93,-76961.52607306669
0.05,0.94,-81621.11910261436
0.05,0.95,-81208.07597340412
0.05,0.96,-86331.2390208349
0.05,0.97,-87523.84769139215
0.05,0.98,-90603.62776035917
0.05,0.99,-90809.59916530992
0.05,1.0,-94996.11115800362
0.06,0.0,137388.11057519424
0.06,0.01,173146.26815286334
0.06,0.02,203144.6876115619
0.06,0.03,207119.11716464092
0.06,0.04,218026.98848986017
0.06,0.05,218963.64832840936
0.06,0.06,216665.2857400287
0.06,0.07,213361.36710895086
0.06,0.08,212299.4428334125
0.06,0.09,208776.641788487
0.06,0.1,205156.7861169695
0.06,0.11,197835.95180848555
0.06,0.12,194087.30786302753
0.06,0.13,186323.71617574967
0.06,0.14,183961.0700672357
0.06,0.15,178908.66555550374
0.06,0.16,174841.00359466803
0.06,0.17,168558.8811581215
0.06,0.18,164949.28391027063
0.06,0.19,161040.51509159242
0.06,0.2,155445.38675305055
0.06,0.21,152194.4025012239
0.06,0.22,148682.91934444662
0.06,0.23,142383.9453468845
0.06,0.24,138194.854053013
0.06,0.25,133516.11937521686
0.06,0.26,126497.84132637581
0.06,0.27,123655.39972248249
0.06,0.28,117359.3363511152
0.06,0.29,116992.965156141
0.06,0.3,111349.4542527954
0.06,0.31,105758.72061198074
0.06,0.32,101099.25844469399
0.06,0.33,98018.5065133385
0.06,0.34,94515.88573728279
0.06,0.35,91705.82946199954
0.06,0.36,87913.72078740643
0.06,0.37,83752.88938867423
0.06,0.38,81276.06387925257
0.06,0.39,73735.2587147863
0.06,0.4,70981.92791303093
0.06,0.41,68763.4754018766
0.06,0.42,63221.205033592036
0.06,0.43,63338.71862697595
0.06,0.44,58754.59528073787
0.06,0.45,50864.26937220133
0.06,0.46,52602.39240764507
0.06,0.47,48937.64174317878
0.06,0.48,43793.46661748689
0.06,0.49,42383.385932444566
0.06,0.5,35553.259719782254
0.06,0.51,33176.297994232824
0.06,0.52,31607.092183566016
0.06,0.53,29287.608485576442
0.06,0.54,25843.31451973747
0.06,0.55,19028.18601717207
0.06,0.56,17410.021845271956
0.06,0.57,17287.639643246606
0.06,0.58,14292.590047102363
0.06,0.59,9568.209651258008
0.06,0.6,6511.703361677421
0.06,0.61,1104.7009802507118
0.06,0.62,-2125.9216481341236
0.06,0.63,-1589.2168947023702
0.06,0.64,-9253.838145763677
0.06,0.65,-11233.519198190435
0.06,0.66,-9179.659518601393
0.06,0.67,-11936.649328885575
0.06,0.68,-13544.168435284128
0.06,0.69,-19122.941271973
0.06,0.7,-21769.44930164821
0.06,0.71,-22923.02810039537
0.06,0.72,-27888.07844451809
0.06,0.73,-29669.947202758143
0.06,0.74,-30383.201652379354
0.06,0.75,-36904.14103277845
0.06,0.76,-36352.46218526493
0.06,0.77,-43820.22454400024
0.06,0.78,-41882.657383254504
0.06,0.79,-45825.986133543294
0.06,0.8,-43802.24797196489
0.06,0.81,-45017.64415290403
0.06,0.82,-49072.51674635532
0.06,0.83,-56070.5118965315
0.06,0.84,-54644.47084070668
0.06,0.85,-57420.12807683291
0.06,0.86,-59298.51247909075
0.06,0.87,-63586.194668041295
0.06,0.88,-64467.17773226742
0.06,0.89,-65507.24068080086
0.06,0.9,-66867.312196636
0.06,0.91,-71652.00055819178
0.06,0.92,-70576.37120202187
0.06,0.93,-76262.22630688264
0.06,0.94,-80135.90213626521
0.06,0.95,-80435.55459467036
0.06,0.96,-83389.24103153923
0.06,0.97,-87646.53562358029
0.06,0.98,-90560.62718748391
0.06,0.99,-91490.41529798563
0.06,1.0,-94996.11115800362
0.07,0.0,136361.06594700433
0.07,0.01,177636.9505174345
0.07,0.02,199383.22354247462
0.07,0.03,215610.15156452838
0.07,0.04,221332.44523642847
0.07,0.05,220981.22673957152
0.07,0.06,219884.35958555446
0.07,0.07,217444.06655170856
0.07,0.08,214007.38364920294
0.07,0.09,210949.947641964
0.07,0.1,208692.45036853375
0.07,0.11,202426.667139271
0.07,0.12,199221.44946256268
0.07,0.13,193529.9471015844
0.07,0.14,190816.5023090558
0.07,0.15,184888.35817599745
0.07,0.16,179626.32002621118
0.07,0.17,172008.0514854489
0.07,0.18,170756.3360373655
0.07,0.19,163643.41468535893
0.07,0.2,158242.691925971
0.07,0.21,154936.5327822083
0.07,0.22,150832.19226362006
0.07,0.23,148321.0574477623
0.07,0.24,142543.55557345424
0.07,0.25,140386.68546596792
0.07,0.26,135166.53575509845
0.07,0.27,129579.74178547882
0.07,0.28,125118.37172683353
0.07,0.29,118792.10653435734
0.07,0.3,117962.37320895042
0.07,0.31,112248.19491424624
0.07,0.32,105510.14657730234
0.07,0.33,104039.2402964382
0.07,0.34,98440.36543802544
0.07,0.35,95241.28639739078
0.07,0.36,92320.73008377597
0.07,0.37,87941.79261357871
0.07,0.38,86179.51665677874
0.07,0.39,81819.19739886113
0.07,0.4,76333.85932996153
0.07,0.41,75483.46816504524
0.07,0.42,72603.39406698057
0.07,0.43,62294.675115243976
0.07,0.44,61608.252505642326
0.07,0.45,57931.12787155638
0.07,0.46,53595.006085696325
0.07,0.47,49512.62642219023
0.07,0.48,45353.64828989715
0.07,0.49,43472.354472306695
0.07,0.5,40927.49411825214
0.07,0.51,38949.46119676836
0.07,0.52,33536.89549557568
0.07,0.53,30673.24792635355
0.07,0.54,29190.049334567608
0.07,0.55,23117.461964550363
0.07,0.56,19025.854604082342
0.07,0.57,18673.94975515133
0.07,0.58,14686.522748677693
0.07,0.59,11861.94713452281
0.07,0.6,8943.634575044849
0.07,0.61,3625.7590188975473
0.07,0.62,245.78048537423456
0.07,0.63,2355.7269740923157
0.07,0.64,-1696.7207515846558
0.07,0.65,-10333.9837827375
0.07,0.66,-10547.263258703257
0.07,0.67,-10586.84922582493
0.07,0.68,-15418.351546423575
0.07,0.69,-16575.289960345977
0.07,0.7,-17887.863608279244
0.07,0.71,-23360.91668057692
0.07,0.72,-22901.145241855014
0.07,0.73,-28396.330401130355
0.07,0.74,-28869.975913372487
0.07,0.75,-33842.949302683075
0.07,0.76,-34909.63321833819
0.07,0.77,-36567.09901182703
0.07,0.78,-44642.33397010462
0.07,0.79,-43247.23536896439
0.07,0.8,-48236.26734493016
0.07,0.81,-47504.59996453105
0.07,0.82,-47850.22158221154
0.07,0.83,-52441.790071574585
0.07,0.84,-53865.313502547426
0.07,0.85,-58301.93411259911
0.07,0.86,-59977.008135673146
0.07,0.87,-62642.642543121925
0.07,0.88,-63484.01524053391
0.07,0.89,-67842.47633135968
0.07,0.9,-68174.99735744913
0.07,0.91,-71430.782796366
0.07,0.92,-68915.20510889307
0.07,0.93,-75485.89043616028
0.07,0.94,-80766.36977483697
0.07,0.95,-82286.94488463359
0.07,0.96,-87682.05929323749
0.07,0.97,-88620.06125849888
0.07,0.98,-91630.50809659803
0.07,0.99,-91143.27347623183
0.07,1.0,-94996.11115800362
0.08,0.0,137189.623765105
0.08,0.01,179276.4942073453
0.08,0.02,196710.1971260542
0.08,0.03,214847.38890884604
0.08,0.04,224945.86933205527
0.08,0.05,222723.76038039336
0.08,0.06,221700.46536782867
0.08,0.07,219769.47870579292
0.08,0.08,219235.45005696698
0.08,0.09,215995.1882452797
0.08,0.1,210349.61956184258
0.08,0.11,206497.95149287552
0.08,0.12,202210.2894716618
0.08,0.13,197582.08398486412
0.08,0.14,193167.84341814002
0.08,0.15,188372.312621193
0.08,0.16,182797.035018965
0.08,0.17,177969.29268721194
0.08,0.18,173913.25702870917
0.08,0.19,168209.73999903395
0.08,0.2,166044.96651986503
0.08,0.21,161404.12167266678
0.08,0.22,155309.32214017105
0.08,0.23,149661.80725201566
0.08,0.24,144564.9311713239
0.08,0.25,144136.44105146796
0.08,0.26,136710.23733591777
0.08,0.27,134176.28181495907
0.08,0.28,127770.14454524936
0.08,0.29,124953.30054441672
0.08,0.3,118079.0894323171
0.08,0.31,115026.65580540987
0.08,0.32,113420.92073253464
0.08,0.33,107745.43156133965
0.08,0.34,105660.36834803234
0.08,0.35,102456.81440924303
0.08,0.36,98675.98855608128
0.08,0.37,90434.88003813804
0.08,0.38,89073.24567427195
0.08,0.39,82887.97327611728
0.08,0.4,80917.06784848237
0.08,0.41,76798.53716311757
