cash
-56539.54508755606
-56620.941931228735
-56640.06333431923
-56166.06548808117
-56672.6132765066
-56960.887771570764
-56196.782908732275
-56334.845873993676
-56048.612605694245
-56625.81096064886
-56743.84548455555
-56182.6428364346
-56335.29329477234
-56135.58087046808
-56389.73670753959
-56848.099319129076
-56703.74678688847
-56397.463395657476
-56181.26224836918
-56465.47794475357
-56410.23241450079
-56955.973366814935
-56209.98659204187
-56193.05313229388
-56611.637977376806
-56603.94458979896
-56806.55132502512
-56074.0761699805
-56318.88989283699
-56305.05312158953
-56296.35988918385
-57018.73461498836
-56784.04720882228
-56434.85945629059
-56218.16913876752
-56243.54646936539
-56730.60845334257
-55987.7125803773
-55863.2817037589
-55695.91615902106
-56847.246032818985
-56584.294398477956
-56906.76381406569
-56905.901119601716
-56741.6830494194
-56775.93606531468
-56161.009225422684
-57260.855570955646
-57012.81428676093
-56452.470776506605
-56315.0628293834
-56279.557497375274
-56720.881956290585
-56311.32512017929
-55792.573532691444
-56277.19786527714
-56787.730325730256
-55931.79815761083
-56296.89932996097
-55841.972046598916
-56149.226195169904
-56519.08410992497
-56277.615080377305
-56725.77232771806
-57136.55407037807
-56649.78510569425
-56333.226285478224
-56706.34517786437
-56638.37405236742
-56274.797533651654
-56583.43815395767
-56256.44631054008
-56591.421296055036
-56323.30365536793
-56665.35768504313
-56644.880542240644
-56199.75658473557
-56774.20803493436
-56582.9973998882
-56747.456728948295
-56209.082663379326
-57348.16415677816
-56857.629441933095
-56916.46341379567
-56872.01213287146
-56948.11983137121
-56911.91854717649
-56644.501617358816
-56384.5067072845
-56720.65584162553
-55684.301292656986
-56261.67011287299
-55618.47304211311
-55491.232602168646
-56479.87720164354
-56315.651599220626
-56568.948197157726
-56227.409539292625
-56537.35608332533
