"Easting","Northing","Abundance"
354500,5369500,0.027442479506135
355500,5369500,0.0280047990381718
356500,5369500,0.0341314934194088
357500,5369500,0.062277227640152
358500,5369500,0.147682800889015
359500,5369500,0.201519057154655
360500,5369500,0.265276938676834
361500,5369500,0.317827075719833
362500,5369500,0.344421595335007
363500,5369500,0.370426565408707
364500,5369500,0.399914473295212
354500,5368500,0.0384315475821495
355500,5368500,0.051569577306509
356500,5368500,0.109913378953934
357500,5368500,0.141485065221786
358500,5368500,0.189544722437859
359500,5368500,0.233078688383102
360500,5368500,0.257487148046494
361500,5368500,0.290165811777115
362500,5368500,0.317227095365524
363500,5368500,0.35876253247261
364500,5368500,0.433109015226364
340500,5367500,0.0880998447537422
341500,5367500,0.102522775530815
342500,5367500,0.104163236916065
347500,5367500,0.189496576786041
348500,5367500,0.181774765253067
351500,5367500,0.119552366435528
352500,5367500,0.0890160948038101
353500,5367500,0.0793396458029747
354500,5367500,0.121806509792805
355500,5367500,0.235895782709122
356500,5367500,0.21773687005043
357500,5367500,0.189806774258614
358500,5367500,0.216418549418449
359500,5367500,0.25338876247406
362500,5367500,0.32061243057251
339500,5366500,0.0805189684033394
340500,5366500,0.0997236669063568
341500,5366500,0.113510645925999
342500,5366500,0.0935628861188889
346500,5366500,0.0490360669791698
347500,5366500,0.079804502427578
351500,5366500,0.20219561457634
352500,5366500,0.18549519777298
353500,5366500,0.19291989505291
354500,5366500,0.259475499391556
355500,5366500,0.295721709728241
356500,5366500,0.274657428264618
357500,5366500,0.270111411809921
358500,5366500,0.27277210354805
359500,5366500,0.265912026166916
367500,5366500,0.634727001190186
368500,5366500,0.644753038883209
369500,5366500,0.625255644321442
370500,5366500,0.60609233379364
338500,5365500,0.0852568075060844
339500,5365500,0.0980236753821373
340500,5365500,0.125947594642639
341500,5365500,0.105113685131073
346500,5365500,0.0613903813064098
347500,5365500,0.0418738499283791
351500,5365500,0.277555793523788
352500,5365500,0.321729421615601
353500,5365500,0.352654099464417
354500,5365500,0.375348210334778
355500,5365500,0.36392542719841
356500,5365500,0.315338939428329
357500,5365500,0.280525296926498
358500,5365500,0.258072793483734
363500,5365500,0.505222678184509
364500,5365500,0.58541339635849
365500,5365500,0.588135659694672
366500,5365500,0.58251690864563
367500,5365500,0.569571733474731
368500,5365500,0.629856944084167
369500,5365500,0.633574545383453
370500,5365500,0.639635860919952
336500,5364500,0.102684810757637
338500,5364500,0.0979147180914879
339500,5364500,0.131544336676598
346500,5364500,0.0467028915882111
351500,5364500,0.330055385828018
352500,5364500,0.356870055198669
353500,5364500,0.430145412683487
354500,5364500,0.460189074277878
355500,5364500,0.367050290107727
356500,5364500,0.249587878584862
357500,5364500,0.237096726894379
362500,5364500,0.485961228609085
363500,5364500,0.503022134304047
364500,5364500,0.57035768032074
365500,5364500,0.50545459985733
366500,5364500,0.575914204120636
367500,5364500,0.586072623729706
368500,5364500,0.463403195142746
369500,5364500,0.344319671392441
370500,5364500,0.598799705505371
335500,5363500,0.186912775039673
336500,5363500,0.120267979800701
337500,5363500,0.110791899263859
338500,5363500,0.118667401373386
339500,5363500,0.140826523303986
359500,5363500,0.21672548353672
360500,5363500,0.312934458255768
361500,5363500,0.500908732414246
362500,5363500,0.536476373672485
363500,5363500,0.568251550197601
364500,5363500,0.54575389623642
365500,5363500,0.506212830543518
366500,5363500,0.591391742229462
367500,5363500,0.637003064155579
368500,5363500,0.52715665102005
369500,5363500,0.443580597639084
370500,5363500,0.133064389228821
335500,5362500,0.184053748846054
336500,5362500,0.142124578356743
337500,5362500,0.125244617462158
338500,5362500,0.145093262195587
339500,5362500,0.147641852498055
354500,5362500,0.284025460481644
355500,5362500,0.351230651140213
357500,5362500,0.228429898619652
358500,5362500,0.189961150288582
359500,5362500,0.273945748806
360500,5362500,0.44825342297554
361500,5362500,0.557835340499878
362500,5362500,0.573800325393677
363500,5362500,0.488633960485458
364500,5362500,0.469657897949219
365500,5362500,0.46583303809166
366500,5362500,0.476893842220306
367500,5362500,0.417282998561859
368500,5362500,0.311185985803604
369500,5362500,0.132514506578445
370500,5362500,0.046489953994751
354500,5361500,0.137084811925888
355500,5361500,0.123397924005985
356500,5361500,0.244701012969017
357500,5361500,0.21111848950386
358500,5361500,0.146463200449944
359500,5361500,0.296204388141632
360500,5361500,0.484336495399475
361500,5361500,0.596840500831604
362500,5361500,0.478269457817078
363500,5361500,0.381348729133606
364500,5361500,0.419155567884445
365500,5361500,0.366894394159317
366500,5361500,0.283617854118347
367500,5361500,0.158914551138878
368500,5361500,0.139210984110832
369500,5361500,0.0512515716254711
354500,5360500,0.049489114433527
355500,5360500,0.0615563988685608
356500,5360500,0.0824959650635719
357500,5360500,0.0591747611761093
358500,5360500,0.0711612105369568
359500,5360500,0.404713213443756
360500,5360500,0.566496133804321
361500,5360500,0.567660808563232
362500,5360500,0.369955509901047
363500,5360500,0.315484941005707
364500,5360500,0.317270636558533
365500,5360500,0.208100497722626
366500,5360500,0.0800193697214127
367500,5360500,0.0370656996965408
368500,5360500,0.046065416187048
369500,5360500,0.0303928405046463
337500,5359500,0.20298270881176
338500,5359500,0.221884623169899
339500,5359500,0.156856268644333
340500,5359500,0.0473112426698208
341500,5359500,0.0451033301651478
342500,5359500,0.0500587821006775
343500,5359500,0.0484333857893944
344500,5359500,0.0545775033533573
345500,5359500,0.0580091960728168
346500,5359500,0.0595712177455425
347500,5359500,0.081050232052803
348500,5359500,0.149174749851227
349500,5359500,0.357734709978104
350500,5359500,0.709525287151337
351500,5359500,0.9200479388237
