Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
876689.3014094403,871461.4785905587,1448242.4431035705,1446479.2195187083,55516.43106693006,744029.0,5564196.911463557,5413752.000014756
748597.1357870699,746957.0042129294,1167435.4230656414,1197581.5031133562,46723.32794943906,566698.0,5902835.524529197,5783687.403128112
679272.9531206622,672534.7968793372,812715.3000432139,851256.0720692647,41776.25271470303,485856.0,5939839.2745724125,5867001.695197375
627429.9841956944,618200.3358043064,541853.1152404553,566161.3863650819,38243.48634068706,500193.0,5754109.769812867,5715798.851562455
554729.3752383845,552119.5847616154,464362.866407415,474266.48156701936,33253.131222331795,289419.0,5552240.366220282,5526708.4331294745
670011.8283350652,659633.3916649359,452080.01683094364,456773.82974723354,41050.130006367996,502704.0,5220691.833051225,5210823.502876708
560194.2000085554,558274.4099914455,465768.9180222851,467204.10073384765,33945.77124157233,467160.0,5020936.6210735105,5014470.523610555
526010.3848120607,525733.2151879396,511786.01812421676,511907.24673596537,31575.894108216395,390186.0,4906127.889197728,4900091.850346521
626097.6523450882,620847.6976549117,489059.8797983278,489710.6507958788,38701.49687627721,758260.0,4698825.028996055,4698412.731142399
508629.3755394636,509314.74446053634,455430.35989958886,455281.16762163024,30607.536189606573,492839.0,4589709.748895645,4588456.77876403
602161.7339928721,601654.9360071286,415939.88611843274,415716.16000686836,36814.62213066972,495946.0,4333673.2250140775,4332701.848770898
446675.1213768142,446360.8086231864,438010.19750321866,437692.1906744077,26682.54156395106,642099.0,4273909.012517297,4272923.859445306
535589.7849743598,535199.3550256401,431664.9742055558,431329.5922722295,32541.758281888116,602419.0,4119725.226722853,4118783.0417175354
563743.6147606997,563595.7052392998,414901.9345190811,414411.9471396354,34281.90670465824,513656.0,3916340.9112419337,3915054.158857171
521500.43816564203,521199.40183435794,414312.4727110689,413696.301900878,31399.380775873637,474248.0,3760046.563953001,3758441.140758049
502768.40985259385,502585.4601474061,440271.72314584133,439425.45039783366,29922.836782520222,339543.0,3647429.4870988424,3645160.8311558827
503035.9725062378,501666.7874937624,414647.9717700964,414101.1645770435,30548.38135689636,741770.0,3526172.498868939,3524701.545732926
477781.46750843746,476774.382491563,384902.52414314897,384628.77589084354,28922.501225786444,765136.0,3404932.083012088,3404200.5716237696
460020.81209028757,459458.7179097123,358937.29501237505,358814.5481183541,27474.88184126412,598019.0,3280340.798024463,3280044.069742124
453428.0704797479,453165.85952025227,347856.0102805225,347803.70472087985,26949.171129069953,544120.0,3147009.7683049855,3146926.2744630035
