day,x,y
401,-123.5,-0.5
401,-124.5,-0.5
401,-124.5,-0.5
401,-124.5,-0.5
401,-124.5,-0.5
401,-124.5,-0.5
401,-125.5,-0.5
401,-125.5,-0.5
402,-125.5,-0.5
402,-125.5,-0.5
402,-126.5,-0.5
402,-126.5,-0.5
402,-126.5,-0.5
402,-126.5,-0.5
402,-127.5,-0.5
402,-127.5,-0.5
402,-127.5,-0.5
402,-127.5,-0.5
402,-127.5,-0.5
402,-128.5,-0.5
402,-128.5,-0.5
402,-128.5,-0.5
402,-128.5,-0.5
402,-129.5,-0.5
402,-129.5,-0.5
402,-129.5,-0.5
402,-129.5,-0.5
402,-129.5,-0.5
402,-130.5,-0.5
402,-130.5,-0.5
402,-130.5,-0.5
402,-130.5,-0.5
402,-131.5,-0.5
403,-131.5,-0.5
403,-131.5,-0.5
403,-131.5,-0.5
403,-131.5,-0.5
403,-132.5,-0.5
403,-132.5,-0.5
403,-132.5,0.5
403,-132.5,0.5
423,-149.5,-1.5
423,-149.5,-0.5
423,-149.5,-0.5
423,-149.5,-0.5
423,-149.5,-0.5
423,-149.5,-0.5
424,-149.5,-0.5
424,-149.5,-0.5
424,-149.5,-0.5
424,-149.5,-0.5
424,-149.5,-0.5
424,-149.5,-0.5
424,-149.5,-0.5
424,-148.5,-0.5
424,-148.5,-0.5
424,-148.5,-0.5
424,-148.5,-0.5
424,-148.5,-0.5
424,-147.5,-0.5
424,-147.5,-0.5
424,-147.5,-0.5
424,-147.5,-0.5
424,-147.5,-0.5
424,-147.5,-0.5
424,-146.5,-0.5
429,-133.5,-1.5
429,-132.5,-0.5
429,-132.5,-0.5
429,-132.5,-0.5
429,-132.5,-0.5
429,-131.5,-0.5
429,-131.5,-0.5
429,-131.5,-0.5
429,-130.5,-0.5
429,-130.5,-0.5
429,-130.5,-0.5
429,-130.5,-0.5
430,-126.5,-0.5
430,-125.5,-0.5
430,-125.5,-0.5
430,-125.5,-0.5
431,-124.5,-1.5
431,-124.5,-1.5
431,-123.5,-1.5
431,-123.5,-1.5
456,-122.5,-1.5
456,-123.5,-1.5
456,-123.5,-1.5
457,-124.5,-1.5
457,-124.5,-1.5
457,-124.5,-1.5
457,-125.5,-1.5
457,-125.5,-1.5
457,-126.5,-1.5
457,-126.5,-1.5
457,-127.5,-1.5
457,-127.5,-1.5
457,-127.5,-1.5
458,-131.5,-1.5
458,-132.5,-1.5
458,-132.5,-1.5
458,-133.5,-1.5
458,-133.5,-1.5
458,-134.5,-1.5
459,-134.5,-1.5
459,-134.5,-1.5
459,-135.5,-1.5
461,-147.5,-2.5
461,-148.5,-2.5
461,-148.5,-2.5
461,-148.5,-2.5
461,-148.5,-2.5
461,-149.5,-2.5
461,-149.5,-2.5
461,-149.5,-2.5
494,-149.5,-0.5
494,-149.5,-0.5
494,-149.5,-0.5
495,-149.5,-0.5
495,-149.5,-0.5
495,-149.5,0.5
495,-149.5,0.5
495,-149.5,0.5
495,-149.5,0.5
495,-149.5,0.5
495,-149.5,0.5
495,-148.5,0.5
495,-148.5,0.5
495,-148.5,0.5
495,-147.5,0.5
495,-147.5,0.5
523,-140.5,-0.5
523,-140.5,0.5
523,-140.5,0.5
542,-127.5,2.5
542,-127.5,2.5
542,-127.5,2.5
542,-127.5,2.5
542,-126.5,2.5
542,-126.5,1.5
542,-126.5,1.5
542,-126.5,1.5
542,-125.5,1.5
542,-125.5,1.5
542,-125.5,1.5
542,-125.5,1.5
542,-125.5,1.5
542,-124.5,1.5
543,-124.5,1.5
543,-124.5,1.5
543,-124.5,1.5
543,-124.5,1.5
543,-123.5,1.5
543,-123.5,1.5
543,-123.5,2.5
543,-123.5,2.5
543,-123.5,2.5
543,-122.5,2.5
664,-139.5,1.5
664,-139.5,1.5
664,-139.5,1.5
664,-139.5,1.5
664,-139.5,0.5
664,-139.5,0.5
664,-139.5,0.5
664,-139.5,-0.5
664,-140.5,-0.5
664,-140.5,-0.5
664,-140.5,-0.5
664,-140.5,-0.5
664,-140.5,-1.5
664,-140.5,-1.5
664,-141.5,-1.5
664,-141.5,-1.5
664,-141.5,-0.5
664,-141.5,-0.5
665,-142.5,-0.5
665,-142.5,-0.5
665,-142.5,-0.5
665,-143.5,-0.5
665,-143.5,-0.5
665,-143.5,-0.5
665,-143.5,-0.5
665,-144.5,-0.5
665,-144.5,-0.5
665,-144.5,-0.5
665,-144.5,0.5
665,-145.5,0.5
665,-145.5,0.5
665,-145.5,0.5
665,-145.5,0.5
665,-146.5,0.5
665,-146.5,0.5
665,-146.5,0.5
665,-146.5,0.5
666,-147.5,-0.5
666,-147.5,-0.5
666,-147.5,-0.5
666,-147.5,-0.5
666,-148.5,-0.5
666,-148.5,-0.5
666,-148.5,-0.5
712,-146.5,-0.5
712,-146.5,-0.5
712,-145.5,-0.5
712,-145.5,-0.5
712,-145.5,-0.5
712,-144.5,-0.5
712,-144.5,-0.5
712,-144.5,-0.5
712,-143.5,-0.5
713,-143.5,-0.5
713,-143.5,-0.5
713,-142.5,-0.5
713,-142.5,-0.5
713,-142.5,-0.5
713,-141.5,-0.5
713,-141.5,-0.5
713,-140.5,-0.5
713,-140.5,-0.5
713,-140.5,-0.5
713,-139.5,-0.5
714,-139.5,-0.5
714,-139.5,-0.5
714,-138.5,-0.5
714,-138.5,-0.5
714,-138.5,-0.5
714,-137.5,-0.5
714,-137.5,-0.5
714,-137.5,-0.5
714,-137.5,-0.5
714,-136.5,-0.5
714,-136.5,-0.5
714,-136.5,-0.5
714,-136.5,-0.5
714,-135.5,-0.5
714,-135.5,-0.5
714,-135.5,-0.5
714,-135.5,-0.5
714,-135.5,-0.5
715,-135.5,-0.5
715,-135.5,-0.5
715,-136.5,-1.5
