lon,lat,u,v
-180,-50,0.05200308933854103,0.012081064283847809
-180,-49,0.06402818858623505,7.003266364336014e-4
-180,-48,0.0682833343744278,-0.010339108295738697
-180,-47,0.06904302537441254,-0.022538593038916588
-180,-46,0.06869333982467651,-0.036844827234745026
-180,-45,0.06442300230264664,-0.04926856979727745
-180,-44,0.04719686135649681,-0.055314842611551285
-180,-43,0.022358030080795288,-0.058956328779459
-180,-42,-0.005866818595677614,-0.06516440957784653
-180,-41,-0.005464430432766676,-0.08110380172729492
-180,-40,0.00582751352339983,-0.10043059289455414
-180,-39,0.019052322953939438,-0.11804326623678207
-180,-38,0.04970165714621544,-0.1180557981133461
-180,-37,0.08326365053653717,-0.10790460556745529
-180,-36,0.07261815667152405,-0.07905996590852737
-180,-35,0.05614703148603439,-0.0506909042596817
-180,-34,0.03281215578317642,-0.02203085832297802
-180,-33,0.01399728748947382,-0.0016305550234392285
-180,-32,-0.0021920125000178814,0.015003967098891735
-180,-31,-0.009284481406211853,0.020413953810930252
-180,-30,-0.01112911943346262,0.0207247082144022
-180,-29,-0.006700227037072182,0.014939536340534687
-180,-28,0.0012149735121056437,0.007046333979815245
-180,-27,0.010343902744352818,-0.0015714061446487904
-180,-26,0.0228261798620224,-0.006875682156533003
-180,-25,0.033823758363723755,-0.011401684023439884
-180,-24,0.036695271730422974,-0.0126495361328125
-180,-23,0.036027390509843826,-0.012765929102897644
-180,-22,0.02817046083509922,-0.010626701638102531
-180,-21,0.018632881343364716,-0.007751116529107094
-180,-20,0.0071950615383684635,-0.004051687195897102
-180,-19,-0.005037383642047644,-6.977712037041783e-4
-180,-18,-0.01777370274066925,0.0024354641791433096
-180,-17,-0.02918696217238903,0.004174499772489071
-180,-16,-0.039419569075107574,0.005448155105113983
-180,-15,-0.04146074876189232,0.004059234168380499
-180,-14,-0.04144774004817009,0.0021074973046779633
-180,-13,-0.030864955857396126,-0.0017285954672843218
-180,-12,-0.01808878406882286,-0.00559498043730855
-180,-11,-0.0015941355377435684,-0.009512258693575859
-180,-10,0.00782428216189146,-0.012489545159041882
-180,-9,0.00884167104959488,-0.014469747431576252
-180,-8,-0.003268584841862321,-0.014926623553037643
-180,-7,-0.033920496702194214,-0.012588161043822765
-180,-6,-0.07498280704021454,-0.008610809221863747
-180,-5,-0.13232827186584473,-0.0032753287814557552
-180,-4,-0.20648138225078583,0.003246522508561611
-180,-3,-0.31054505705833435,0.009923217818140984
-180,-2,-0.3955056965351105,0.019131975248456
-180,-1,-0.2936497926712036,0.0259072445333004
-180,0,-0.06600312143564224,0.02476477436721325
-180,1,0.0036702798679471016,0.011768566444516182
-180,2,-0.1337154060602188,0.00827791914343834
-180,3,-0.13231678307056427,0.014577810652554035
-180,4,-0.061140213161706924,0.02638937719166279
-180,5,-0.009116876870393753,0.03649722784757614
-180,6,0.014775112271308899,0.03943496569991112
-180,7,0.016276443377137184,0.03668598830699921
-180,8,0.003575872164219618,0.030421128496527672
-180,9,-0.029952265322208405,0.02404024451971054
-180,10,-0.06559324264526367,0.015946917235851288
-180,11,-0.09648796916007996,0.009513810276985168
-180,12,-0.12026814371347427,0.005359265021979809
-180,13,-0.13221625983715057,0.002269927179440856
-180,14,-0.13755057752132416,-3.3661184716038406e-4
-180,15,-0.12126068770885468,-0.0021582464687526226
-180,16,-0.10201586782932281,-0.0036004874855279922
-180,17,-0.07284537702798843,-0.003280349774286151
-180,18,-0.044124893844127655,-0.0026309024542570114
-180,19,-0.016303200274705887,-0.0011503181885927916
-180,20,0.0065805683843791485,-2.430753556836862e-5
-180,21,0.01972629688680172,5.528321489691734e-4
-180,22,0.02773181162774563,2.256102452520281e-4
-180,23,0.030732762068510056,-8.899139938876033e-4
-180,24,0.026854023337364197,-0.00261852634139359
-180,25,0.021063167601823807,-0.004442625213414431
-180,26,0.015231414698064327,-0.006370014511048794
-180,27,0.00969719048589468,-0.008449159562587738
-180,28,0.009899989701807499,-0.010833467356860638
-180,29,0.011944074183702469,-0.013556631281971931
-180,30,0.019681502133607864,-0.016853509470820427
-180,31,0.028033670037984848,-0.020389394834637642
-180,32,0.03762402758002281,-0.023365145549178123
-180,33,0.04433172568678856,-0.024216091260313988
-180,34,0.049810126423835754,-0.023773998022079468
-180,35,0.05290853604674339,-0.020830580964684486
-180,36,0.05499459058046341,-0.017017172649502754
-180,37,0.05590019375085831,-0.012197939679026604
-180,38,0.058160874992609024,-0.007577062584459782
-180,39,0.059966426342725754,-0.0035339160822331905
-180,40,0.058869656175374985,-0.0015194843290373683
