port_name,hold_volume_in_m3,carrying_capacity_in_t,length_in_m,beam_in_m
LOS ANGELES,2123,1814,73.45,12.8
ENSENADA,460,346,35.96,9.44
CUMANA (PUERTO SUCRE),1145,1095,61.26,12.8
BALBOA,1633,1157,78.29,12.5
CUMANA (PUERTO SUCRE),1237,1089,68.64,12.8
BALBOA,1358,982,72.01,13.5
PAGO PAGO HARBOR,1615,1361,73.82,12.89
MANTA,493,350,40.8,10
BALBOA,1287,1039,64.8,13.1
CUMANA (PUERTO SUCRE),1260,1089,68.11,12.8
MAZATLAN,1298,1089,61.56,12.8
BALBOA,1633,1191,78.83,12.5
MANTA,459,206,31.39,8.53
MANTA,662,563,51.51,10.66
MANTA,995,711,55.88,10.66
MAZATLAN,381,339,41.75,10.36
GUAYAQUIL,715,550,50.04,9.56
PAGO PAGO HARBOR,2032,1360,75.25,12.8
GUAYAQUIL,699,601,45.72,10.36
SEATTLE,1578,1270,59.77,12.8
CUMANA (PUERTO SUCRE),1386,925,71,12.19
GUAYAQUIL,676,590,50.43,10.4
GUAYAQUIL,2304,1637,69.02,13.23
BALBOA,1475,1385,73.33,12.8
GUAYAQUIL,742,556,41.75,10.36
MANTA,644,544,53.45,10.66
ENSENADA,1118,896,60.96,12.02
MANTA,1419,1014,62.2,12
GUAYAQUIL,756,567,51.65,10.7
MANTA,728,624,50.04,9.56
MANTA,767,523,51.2,10.66
CARTAGENA,729,581,51.26,10.5
ENSENADA,808,680,55.16,10.66
MANTA,738,549,52.52,10.7
GUAYAQUIL,755,544,51.51,10.66
GUAYAQUIL,818,625,56.08,10.97
GUAYAQUIL,603,398,48,9.33
ENSENADA,829,750,48.15,10.97
GUAYAQUIL,849,680,55.17,11
MANTA,855,600,46.32,10.36
MANTA,843,717,60.28,11.1
GUAYAQUIL,786,680,55.16,11
GUAYAQUIL,971,742,62.78,11.58
ENSENADA,1520,1202,70.71,13.1
MANTA,845,604,56.35,10.91
GUAYAQUIL,1257,1080,69.66,12.9
ENSENADA,806,680,55.16,10.97
MANTA,1402,1089,76.75,13.5
PUERTO MADERO,1160,906,60.96,11.98
MAZATLAN,1480,1134,71.01,13.1
ENSENADA,702,650,55.16,10.97
GUAYAQUIL,1168,1041,62.48,11.58
MAZATLAN,780,540,49.34,10.97
MANTA,1161,1080,59.74,12.19
MANTA,1033,992,65.14,10.97
MANTA,1038,877,65,12.07
ENSENADA,1147,1090,59.74,12.19
GUAYAQUIL,1915,1062,70.4,12.49
CARTAGENA,1193,1060,59.86,12.19
MAZATLAN,1159,1089,61.79,12.19
CORINTO,1198,1073,56.9,11.92
GUAYAQUIL,809,680,55.16,10.97
PUERTO MADERO,1062,680,50.35,10.97
ENSENADA,1358,1089,60.96,13.71
ENSENADA,1260,1089,71.01,12.8
MANTA,456,329,39.31,10.05
ENSENADA,1312,1022,61.32,12.95
MANTA,908,580,51.08,11.11
MANTA,1265,961,67.05,12.8
ENSENADA,1304,1097,61.26,12.8
ENSENADA,1161,1089,72.84,11.58
ENSENADA,1398,1199,71.93,12.49
ENSENADA,1416,1089,71.01,13.1
ENSENADA,1348,1270,79.55,12.19
