bet,skj,yft
0,0.01,0
0,17,0
0,7,0
0,150,0
0,15,0
0,12,0
0,20,0
0,32,0
0,0.01,0
0,0.01,0
0,4,8
0,0,0
0,0,0
0,18,0
0,32,0
0,24,0
0,8,0
0,8,0
0,32,0
0,110,0
0,8,0
0,0,0
0,35,0
0,18,0
0,100,11
0,70,2
0,4,102
0,27,3
0,35,0
0,0,0
0,0,0
0,35,0
0,12,3
0,45,0
0,0,8
0,38,0
0,80,0
0,75,0
0,50,0
0,32,0
0,0,0
0,30,0
0,35,0
0,40,0
0,87,0
0,25,0
0,16,0
0,10,0
0,55,0
0,137,0
0,0,0
0,0,50
0,20,24
0,42,0
0,36,0
0,0,0
0,0,0
0,22,33
0,10,0
0,0,0
0,12,0
0,0,0
0,0,0
0,20,0
0,1,19
0,4,3
0,30,0
0,130,0
0,0,0
0,0,0
0,35,0
0,20,0
0,45,0
0,30,0
0,70,0
0,90,0
0,30,0
0,15,0
0,55,0
0,30,0
0,75,115
0,0,0
0,0,0
0,0,0
0,0,0
0,14,21
0,1,0
10,55,18
0,6,0
0,10,0
0,20,0
0,0,0
0,10,5
0,5,15
0,0,0
0,9,6
0,7,0
0,8,0
0,19,0
0,15,0
0,0,0
0,28,0
0,28,0
0,9,0
0,0,0
0,13,0
0,0,0
5,45,0
0,87,0
0,10,5
0,9,1
0,5,1
0,50,0
0,0,0
0,85,0
0,32,0
0,12,0
0,20,0
0,0,0
0,0,0
0,142,80
0,5,2
0,0,0
0,0,0
0,4,74
0,30,0
0,15,0
0,10,0
0,2,6
0,2,4
0,0,0
0,26,0
0,30,0
0,45,0
0,0,0
0,30,0
0,33,1
0,34,0
0,28,27
0,90,0
0,45,12
0,73,0
0,0,0
0,65,0
0,8,44
0,78,0
0,0,0
0,32,0
0,0,0
0,5,0
0,0,0
0,94,0
0,0,0
0,30,0
0,0,0
0,18,0
0,18,0
0,24,0
0,3,0
0,0,0
0,0,0
0,20,0
0,8,0
0,28,0
0,44,0
0,0,0
0,25,0
0,10,0
0,73,0
0,59,0
0,7,0
0,0,0
0,0,0
0,1,6
0,35,0
0,0,0
0,23,0
0,35,0
0,40,0
0,27,0
0,80,0
0,0,0
0,0,0
0,1,11
0,6,31
0,0,0
0,0,0
0,3,0
0,0,0
0,1,0
0,0,0
0,3,0
0,2,28
0,0,0
0,7,55
0,20,0
0,0,0
0,40,0
0,0,0
0,52,27
0,0,5
0,15,0
0,10,0
0,130,0
0,10,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2,28
0,0,0
0,10,0
0,0,0
0,0,0
0,13,0
0,0,0
0,1,0
0,20,0
0,0,0
0,60,0
0,0,0
0,0,0
0,0,0
0,16,0
0,0,0
0,0,0
0,0,0
0,2,0
0,0,0
0,3,0
0,12,0
0,130,0
0,0,0
0,28,2
10,10,28
14,5,6
0,0.01,0
0,57,3
0,15,45
0,10,0
0,25,0
0,80,20
0,12,0
0,28,0
0,32,0
0,0,0
0,45,0
0,45,0
0,25,0
0,0,0
0,0,15
0,105,0
0,30,0
0,67,0
0,40,0
0,96,0
0,0,0
0,35,0
0,165,0
0,120,0
0,0,0
0,60,0
0,80,42
0,20,0
0,0,0
0,0,0
0,5,38
0,3,7
0,5,15
0,3,17
0,40,0
0,0,0
0,20,0
0,20,0
0,45,0
0,30,0
0,5,20
0,89,16
0,6,0
0,0,0
0,4,0
0,0,0
0,60,0
0,59,0
0,0,0
0,4,20
0,40,0
0,0,0
0,52,23
0,35,0
0,4,5
0,9,5
0,30,8
0,0,0
0,25,0
0,0,0
0,3,0
0,24,0
0,15,8
0,21,26
0,3,4
0,0,0
0,43,13
0,3,7
0,111,0
0,35,0
0,32,0
0,20,0
0,14,0
0,16,0
0,5,20
0,5,0
0,25,0
0,0,95
0,25,0
0,30,0
0,0,0
0,20,0
0,0,20
0,42,0
0,0,0
0,8,0
0,32,0
0,8,0
0,0,0
0,95,0
0,32,8
0,0,0
0,100,0
0,83,0
0,127,0
0,145,0
0,57,0
0,7,5
0,15,10
0,84,0
0,70,0
0,47,15
0,28,7
0,0.01,0
0,10,0
0,8,42
0,4,25
0,7,10
0,0,0
0,77,0
0,0,20
0,16,0
0,0,0
0,30,0
0,0,0
0,50,0
0,0,0
0,70,0
0,45,0
0,35,0
0,95,0
0,90,0
0,0,0
0,40,0
0,60,0
0,30,0
0,0,0
0,35,0
0,0,0
0,0,0
0,40,0
0,0,0
0,38,2
0,115,0
0,0,0
0,0,0
0,48,0
0,0,0
0,200,0
0,125,0
0,155,0
0,40,0
0,16,0
0,15,0
0,290,10
0,29,3
0,64,4
0,0.01,0
0,40,0
0,0,0
0,3,0
0,0,0
0,0,0
0,0,0
0,3,0
0,2,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,17,0
0,0,0
0,1,0
0,0,0
0,10,0
0,50,0
0,3,0
0,0,0
0,7,5
0,25,0
0,22,0
0,13,0
0,5,0
0,30,0
0,18,0
0,10,35
