habit,distance
0.0676348766905,-0.0202328491472
0.0727261504865,-0.0192125882111
0.0716528960846,-0.0200761576785
0.0726755815857,-0.0202115213009
0.0745606966454,-0.0180045906267
0.0787607606278,-0.0196681270068
0.0633238753615,-0.0200899220953
0.0756999710476,-0.018699717717
0.0693113970181,-0.0185920276491
0.0698212274594,-0.0197020395083
0.0619021065869,-0.0206528259451
0.0709990336203,-0.0197830908836
0.0691029355441,-0.0196663943772
0.0677048342431,-0.0191459861116
0.0759126050006,-0.018879850935
0.0660738558269,-0.0209268028593
0.0753353814662,-0.0196557913559
0.0685534254333,-0.0192912763156
0.0671225475903,-0.0185557143591
0.0656861909986,-0.0197209575762
