Year,California All Grades All Formulations Retail Gasoline Prices Dollars per Gallon
2007,3.124
2008,3.561
2009,2.725
2010,3.138
2011,3.863
2012,4.081
2013,3.933
2014,3.794
2015,3.221
2016,2.782
