Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
546121.2899999999,0.0,709749.4897659903,834059.2618138538,17381.115289165205,290214.0,2634390.19233115,3374132.930906471
468031.05,0.0,593690.5497413231,749252.3308061673,14674.904856767536,245916.0,2718958.2320724735,4123385.261712638
442012.6499999999,0.0,421753.4670734334,498181.5078967278,13729.451496338974,202133.0,2656599.809145907,4621566.769609367
407061.6200000003,0.0,282042.5098043183,242859.5914244458,12527.997361949967,184090.0,2490573.6989502246,4864426.361033812
420742.2400000001,0.0,220057.69726058576,92034.8080231161,12990.104580819268,186510.0,2238131.93621081,4956461.169056928
380884.3099999999,0.0,215378.40705945287,30181.974200363613,11586.858126910865,145164.0,2023285.0932702632,4986643.143257292
381900.5299999999,0.0,226471.51629785303,9322.247622679899,11646.590337876249,160508.0,1822484.689568116,4995965.390879972
362836.16,0.0,240818.34167304225,2821.735593432012,11101.592195634337,220243.0,1656496.9612411587,4998787.126473404
355197.8499999999,0.0,243410.29662643184,848.7881982264807,10770.541934958226,175655.0,1507166.3178675903,4999635.91467163
341727.47000000015,0.0,256015.18300330234,254.83974739528367,10390.04236637322,218767.0,1386050.420870893,4999890.754419025
342336.25000000006,0.0,256361.93542104188,76.47011765768639,10339.350454028074,176033.0,1265925.8262919348,4999967.224536683
331962.7699999999,0.0,252245.15154204032,22.942663588938558,10012.762520101132,188342.0,1155166.997833975,4999990.167200272
321671.35000000003,0.0,263621.8342799013,6.8829453431199,9674.66192198546,192439.0,1066079.9721138761,4999997.050145615
315415.4300000001,0.0,260932.0141617231,2.0648967674032974,9484.357018186798,204091.0,985489.136275599,4999999.115042383
295679.89,0.0,253319.96159616017,0.6194702150532976,8866.651553502963,230707.0,921536.5878717593,4999999.734512597
304371.5900000001,0.0,245374.72336503828,0.18584117114096443,9095.111792104737,194223.0,840565.0012367978,4999999.920353768
272608.06,0.0,233040.17192887428,0.05575236093955027,8044.533928634614,199057.0,782645.1331656723,4999999.97610613
292066.14999999997,0.0,220266.06149361067,0.016725709157981328,8711.002588737156,208455.0,690615.7746592829,4999999.992831839
272922.85,0.0,206686.71174295197,0.005017712803237373,8134.0112392989995,248556.0,606626.5264022347,4999999.997849552
237674.9999999999,0.0,188081.42447487032,0.0015053138668008614,6931.495432372784,233661.0,544038.1208771049,4999999.999354865
