"Time (year)";"smallpelagic3"
"0";"0.0661"
"0.041666668";"0.0498"
"0.083333336";"0.037100003"
"0.125";"0.0256"
"0.16666667";"0.0269"
"0.20833333";"0.0302"
"0.25";"0.0323"
"0.29166666";"0.0313"
"0.33333334";"0.0281"
"0.375";"0.0208"
"0.41666666";"0.0167"
"0.45833334";"0.0144"
"0.5";"0.0163"
"0.5416667";"0.0214"
"0.5833333";"0.0248"
"0.625";"0.0309"
"0.6666667";"0.0336"
"0.7083333";"0.0574"
"0.75";"0.0784"
"0.7916667";"0.0855"
"0.8333333";"0.071500006"
"0.875";"0.062800007"
"0.9166667";"0.0681"
"0.9583333";"0.069699993"
