Port,Fishers,Easting,Northings
Seattle,4,548484.85,5270784.92
SouthCentralWA,3,401542.10,5244701.56
Astoria,16,434639.431,5115496.348
Tilamook,4,429481.01,5038510.93
Newport,16,416247.898,4942805.666
Coo's Bay,16,397440.780,4805342.404
Brookings,7,393204.960,4656659.511
Crescent City,6,400247.484,4622587.872
Eureka,8,399901.180,4515793.852
Fort Bragg,7,430094.993,4366455.505


