Port,Fishers,Easting,Northings
Seattle,3,548484.85,5270784.92
SouthCentralWA,2,401542.1,5244701.56
Astoria,16,434639.431,5115496.348
Tilamook,2,429481.01,5038510.93
Newport,8,416247.898,4942805.666
Coo's Bay,9,397440.78,4805342.404
Brookings,6,393204.96,4656659.511
Crescent City,3,400247.484,4622587.872
Eureka,7,399901.18,4515793.852
Fort Bragg,6,430094.993,4366455.505
San Francisco,2,542841.5,4181321.3
Monterey,2,598829.756,4051603.67
