Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
161665.556,178.88999999999987,826445.2883117232,836571.0458623801,5145.0522235131475,28949.0,3124314.8146309364,3302365.134585734
360044.89099999995,194.96999999999989,736244.2788635101,772970.3325471148,11566.104144022756,133295.0,3466736.653494446,4053001.8771328493
361312.70399999997,114.57,541225.181650977,535983.3518340793,11523.223747650396,152311.0,3608563.155145423,4575484.408966929
361819.00600000005,88.43999999999998,334439.4149280803,276593.5884813648,11442.70455753764,166249.0,3539098.6600735034,4840375.177448293
363027.99199999997,58.29,206716.9503594505,112985.80395225737,11352.640296557978,203846.0,3338144.1704329536,4945197.281400551
362377.01899999985,49.24499999999999,180763.7030318805,42598.4501728417,11297.779319494999,161066.0,3103087.7434648336,4980688.951573392
363640.5410000002,33.16499999999998,167879.03499593041,16694.490070129978,11336.965518964915,134774.0,2856384.778460764,4992566.441643522
363724.359,27.134999999999984,178288.24497604254,7886.580442230785,11274.484816020413,133152.0,2618945.6134368065,4996490.352085753
363147.3479999999,31.15499999999998,164181.10673495676,5532.061298857135,11144.00491830231,179779.0,2374256.740171763,4997480.44338461
363531.39300000004,30.14999999999999,175439.17026045726,4780.296789223128,11104.908561586417,175511.0,2136059.55043222,4997842.240173833
363159.92300000007,40.19999999999999,183582.58572954926,5565.022607726262,11120.22784700736,160018.0,1909352.56616177,4997498.45278156
363549.45399999985,42.20999999999999,202525.70033503388,6011.429061350182,11102.301029248754,155941.0,1700167.2464968038,4997305.5818429105
361788.902,67.33500000000002,186978.55734971425,8626.312648665647,10990.583934552158,211397.0,1483469.2138465182,4996068.704491575
361211.81100000034,69.345,179137.7662912978,9660.798041009817,10845.006297411175,270127.0,1264122.1101378158,4995477.7125325855
355432.86,78.39000000000003,165994.50853163592,10749.564875770304,10607.936379170467,256054.0,1037280.8186694519,4994974.347408356
362976.00500000006,43.21499999999998,174275.51055507164,7783.540066742316,10746.58322100534,199060.0,808101.459224523,4996453.827475098
349763.1399999999,53.265000000000015,135374.6498332376,7755.000477285951,10191.629944946537,269882.0,560191.7690577607,4996445.317952384
343337.9139999999,40.19999999999999,101325.31397450887,6546.900517211015,9841.727988260638,253024.0,289314.9230322697,4997074.218469596
194764.27999999994,54.269999999999996,57085.63233193787,7579.975141432492,4917.43060473751,346612.0,142322.26536420762,4996550.383611027
120286.829,170.8499999999997,17168.82939303375,18605.81178574572,2439.898853432526,791873.0,42074.794757241354,4990648.125396773
