Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
542406.2999999999,0.0,691420.0776023822,836801.2226033766,17260.729030377915,293448.0,2590468.730539295,3310187.1975374864
448174.72,0.0,567954.7355535325,765764.5006631098,14023.537512123721,255065.0,2674444.146092828,4075951.6982005965
430038.9199999999,0.0,397314.96988639486,519983.4038018348,13318.928779426522,197750.0,2599643.9459792227,4595935.102002432
417059.71000000014,0.0,271666.82056621177,258138.52598397114,12850.440267915013,176549.0,2408948.8965454344,4854073.627986402
389851.68,0.0,212144.78543621968,98898.46274209175,11962.613345836644,191301.0,2186399.091981654,4952972.090728494
376728.85,0.0,205868.50876714828,32582.985532144514,11495.02045706113,174999.0,1969178.0107488022,4985555.076260639
364858.53,0.0,210600.26332803484,10079.93610073995,11082.841104136854,166688.0,1770897.654076837,4995635.012361379
357263.32000000007,0.0,227632.61895088828,3052.63650684581,10851.30594628571,181590.0,1599966.2830277255,4998687.648868225
346041.7799999998,0.0,254508.7508038718,918.3894687039474,10434.849038171296,157736.0,1468084.0638315973,4999606.038336929
334817.17,0.0,252514.04825326268,275.7501940251959,10135.468294463632,205288.0,1355928.84208486,4999881.788530954
341525.27,0.0,252572.283174318,82.74596955246761,10395.77642846759,226255.0,1234621.745259178,4999964.534500507
333143.4599999999,0.0,252509.01345540799,24.825664389280973,10051.788410179388,188653.0,1121514.2487145863,4999989.360164896
322232.33999999997,0.0,244465.66126879468,7.447867899306402,9675.338141525868,182646.0,1017045.6899833805,4999996.808032795
293252.24,0.0,245983.53230738628,2.2343755428164513,8705.172802710094,181777.0,944105.5522907668,4999999.042408338
293814.14000000013,0.0,259376.7386129578,0.670314028420762,8706.353757587203,170367.0,882706.1909037245,4999999.712722367
300622.5800000001,0.0,266030.92251025466,0.20109433143443312,8918.80563498726,158475.0,823081.5234139793,4999999.913816698
328633.9499999999,0.0,237428.72724854547,0.06032831048833032,10085.125520956264,298712.0,712917.8306625246,4999999.974145008
252226.02,0.0,227353.58251718097,0.018098494157129608,7460.369926224687,258357.0,674907.8931797051,4999999.992243502
271405.6799999999,0.0,204416.12573796615,0.005429548329630052,8024.790558390835,212007.0,592804.6489176713,4999999.9976730505
253109.21000000008,0.0,178466.719015978,0.0016288644756059512,7469.332741077297,245267.0,506238.7979336492,4999999.999301915
